"Front","Back"
"What is biodiversity?","The variety of living organisms in an area."
"What are the three levels of biodiversity?","Genetic diversity, species diversity and ecosystem diversity."
"What is genetic diversity?","Variation of genes within a species."
"What is species diversity?","Number of different species in an ecosystem."
"What is ecosystem diversity?","Variety of ecosystems in a region."
"What is a species?","A group of organisms that can interbreed to produce fertile offspring."
"What is classification?","The organisation of organisms into groups."
"What is taxonomy?","The science of naming and classifying organisms."
"What are the main taxonomic groups?","Domain, kingdom, phylum, class, order, family, genus, species."
"What is binomial nomenclature?","Two-part scientific naming system."
"What are the two parts of binomial names?","Genus and species."
"Who developed modern classification?","Carl Linnaeus."
"What is phylogeny?","Evolutionary relationships between species."
"What is a phylogenetic tree?","Diagram showing evolutionary relationships."
"What evidence supports classification?","Morphological, genetic and biochemical evidence."
"What is DNA sequencing?","Determining the order of bases in DNA."
"Why is DNA used in classification?","It shows evolutionary relationships."
"What is variation in biodiversity?","Differences between organisms."
"What causes genetic diversity?","Mutations and sexual reproduction."
"What is a gene pool?","Total genes in a population."
"What is habitat diversity?","Variety of habitats in an ecosystem."
"What is species richness?","Number of species present."
"What is species evenness?","Relative abundance of each species."
"What is the index of diversity?","Measure of biodiversity."
"What equation measures biodiversity?","Index of diversity = (N(N−1)) / Σn(n−1)."
"What does N represent in biodiversity equation?","Total number of organisms."
"What does n represent?","Number of organisms in each species."
"What is a quadrat?","Frame used to sample organisms."
"What is quadrat sampling used for?","Estimating abundance."
"What is random sampling?","Sampling without bias."
"What is systematic sampling?","Sampling at regular intervals."
"What is transect sampling?","Sampling along a line."
"What is a belt transect?","Sampling along a strip."
"What is mark-release-recapture?","Method estimating population size."
"What formula estimates population size?","N = (n1 × n2) / m2."
"What does n1 represent?","Number initially captured."
"What does n2 represent?","Number captured second time."
"What does m2 represent?","Number recaptured."
"What assumptions exist in mark-recapture?","Population stable and marked individuals mix."
"What is conservation?","Protection of biodiversity."
"What is habitat conservation?","Protecting ecosystems."
"What is in situ conservation?","Protecting species in natural habitat."
"What is ex situ conservation?","Protecting species outside natural habitat."
"What are examples of ex situ conservation?","Zoos and seed banks."
"What are national parks?","Protected areas for conservation."
"What are wildlife reserves?","Protected habitats for species."
"What is sustainable development?","Using resources without harming future generations."
"What causes biodiversity loss?","Habitat destruction, pollution, climate change."
"What is deforestation?","Removal of forests."
"What impact does deforestation have?","Loss of habitats."
"What is climate change?","Long-term changes in climate patterns."
"What is global warming?","Increase in Earth's average temperature."
"What is pollution?","Release of harmful substances."
"What is eutrophication?","Excess nutrients causing algal blooms."
"What causes eutrophication?","Fertiliser runoff."
"What effect does eutrophication have?","Reduced oxygen levels."
"What is conservation agriculture?","Farming methods protecting biodiversity."
"What is crop rotation?","Growing different crops over time."
"What is organic farming?","Farming without synthetic chemicals."
"What is habitat restoration?","Rebuilding damaged ecosystems."
"What is captive breeding?","Breeding endangered species in captivity."
"What is genetic conservation?","Maintaining genetic diversity."
"What is seed banking?","Storing seeds for future use."
"What is cryopreservation?","Freezing biological material."
"What is rewilding?","Restoring ecosystems by reintroducing species."
"What are keystone species?","Species with large ecosystem impact."
"What is ecosystem stability?","Ability to resist change."
"What increases ecosystem stability?","High biodiversity."
"What is ecosystem resilience?","Ability to recover from disturbance."
"What is the role of biodiversity?","Supports ecosystem function."
"What are ecosystem services?","Benefits humans gain from ecosystems."
"What is pollination?","Transfer of pollen between flowers."
"What organisms pollinate plants?","Insects and birds."
"What is biological control?","Using organisms to control pests."
"What is invasive species?","Non-native species harming ecosystems."
"What is extinction?","Permanent loss of a species."
"What increases extinction risk?","Small population size."
"What is endangered species?","Species at high risk of extinction."
"What organisations protect biodiversity?","Conservation groups and governments."
"What is the importance of biodiversity?","Maintains ecosystem balance."
