Front,Back
What is an atom?,"The smallest particle of an element that can exist."
What is a proton?,"A positively charged particle found in the nucleus."
What is a neutron?,"A neutral particle found in the nucleus."
What is an electron?,"A negatively charged particle found in energy levels."
What is atomic number?,"The number of protons in an atom."
What is mass number?,"The total number of protons and neutrons."
What are isotopes?,"Atoms of the same element with different numbers of neutrons."
Why do isotopes have the same chemical properties?,"They have the same number of electrons."
What is relative atomic mass?,"The weighted average mass of an element's isotopes."
What is electron configuration?,"The arrangement of electrons in shells."
How many electrons fit in the first shell?,"Two."
How many electrons fit in the second shell?,"Eight."
What is a group in the periodic table?,"A vertical column of elements."
What is a period in the periodic table?,"A horizontal row of elements."
Why do elements in the same group have similar properties?,"They have the same number of outer electrons."
What are Group 1 elements called?,"Alkali metals."
What happens to reactivity down Group 1?,"It increases."
Why does reactivity increase down Group 1?,"Outer electrons are further from the nucleus."
What are Group 7 elements called?,"Halogens."
What happens to reactivity down Group 7?,"It decreases."
What are Group 0 elements called?,"Noble gases."
Why are noble gases unreactive?,"They have full outer shells."
What is ionic bonding?,"Bonding by transfer of electrons."
What is covalent bonding?,"Bonding by sharing electrons."
What is metallic bonding?,"Positive ions in a sea of delocalised electrons."
What is an ion?,"A charged particle formed by losing or gaining electrons."
What is oxidation?,"Loss of electrons."
What is reduction?,"Gain of electrons."
What does OIL RIG stand for?,"Oxidation Is Loss Reduction Is Gain."
What is electrolysis?,"Breaking down compounds using electricity."
What is an electrolyte?,"A molten or dissolved substance that conducts electricity."
What happens at the cathode?,"Reduction occurs."
What happens at the anode?,"Oxidation occurs."
What is conservation of mass?,"Mass is neither created nor destroyed."
What is a balanced equation?,"An equation with equal atoms on both sides."
What is relative formula mass?,"Sum of relative atomic masses in a compound."
What is a mole?,"Amount of substance containing Avogadro's number of particles."
What is Avogadro's number?,"6.02 times ten to the power of 23."
What is concentration?,"Amount of solute per unit volume."
What is exothermic reaction?,"A reaction that releases energy."
What is endothermic reaction?,"A reaction that absorbs energy."
What is activation energy?,"Minimum energy needed for reaction."
What factors affect rate of reaction?,"Temperature concentration surface area and catalyst."
What is collision theory?,"Particles must collide with sufficient energy."
What is a catalyst?,"A substance that speeds up reaction without being used up."
What is equilibrium?,"Forward and backward reactions occur at equal rates."
What is Le Chatelier's principle?,"System opposes change."
What is an acid?,"A substance that produces hydrogen ions in water."
What is an alkali?,"A soluble base."
What is pH?,"Measure of acidity or alkalinity."
What is neutralisation?,"Acid reacts with base to form salt and water."
What gas forms when acid reacts with metal?,"Hydrogen."
What gas forms when acid reacts with carbonate?,"Carbon dioxide."
What is titration used for?,"Finding concentration of a solution."
What is rusting?,"Reaction of iron with oxygen and water."
What is corrosion?,"Destruction of metals by chemical reaction."
What is an alloy?,"A mixture of metals."
Why are alloys harder than pure metals?,"Different sized atoms distort layers."
What is crude oil?,"A mixture of hydrocarbons."
What is fractional distillation?,"Separating liquids by boiling points."
What is a hydrocarbon?,"Compound containing hydrogen and carbon only."
What is complete combustion?,"Burning in excess oxygen."
What is incomplete combustion?,"Burning in limited oxygen."
What is an alkane?,"A saturated hydrocarbon."
What is an alkene?,"An unsaturated hydrocarbon."
What is polymerisation?,"Joining monomers into long chains."
What is addition polymerisation?,"Monomers join without losing atoms."
What is condensation polymerisation?,"Monomers join releasing small molecule."
What is the greenhouse effect?,"Trapping heat by greenhouse gases."
What gases contribute to global warming?,"Carbon dioxide methane and water vapour."
What is the Haber process?,"Production of ammonia from nitrogen and hydrogen."
What conditions are used in the Haber process?,"High pressure moderate temperature iron catalyst."
What is reversible reaction?,"Reaction that can go both directions."
What is a precipitate?,"An insoluble solid formed in solution."
What is chromatography?,"Separating substances in a mixture."
What is a flame test used for?,"Identifying metal ions."
What is lithium flame colour?,"Red."
What is sodium flame colour?,"Yellow."
What is potassium flame colour?,"Lilac."
What is displacement reaction?,"More reactive metal replaces less reactive metal."
What is the reactivity series?,"Order of metals by reactivity."
What is electroplating?,"Coating a metal using electrolysis."
What is reduction in terms of oxygen?,"Removal of oxygen."
What is oxidation in terms of oxygen?,"Gain of oxygen."
What is percentage yield?,"Actual yield divided by theoretical yield times one hundred."
What is atom economy?,"Percentage of useful product formed."
What is renewable energy?,"Energy from sources that replenish."
What is non renewable energy?,"Energy from finite resources."
What is nuclear fission?,"Splitting a large nucleus."
What is nuclear fusion?,"Joining small nuclei."
What is half life?,"Time taken for activity to halve."
What is alpha radiation?,"Two protons and two neutrons."
What is beta radiation?,"Fast moving electron."
What is gamma radiation?,"High energy electromagnetic wave."
What is covalent bond length?,"Distance between nuclei of bonded atoms."
What is bond energy?,"Energy needed to break a bond."
What is homologous series?,"Family of compounds with similar properties."
What is functional group?,"Group of atoms responsible for reactions."
What is alcohol?,"Organic compound containing OH group."
What is carboxylic acid?,"Compound containing COOH group."
What is esterification?,"Reaction forming ester and water."
What is electrolysis of water?,"Producing hydrogen and oxygen from water."
What is dynamic equilibrium?,"Reactions continue but no overall change."
What is concentration formula?,"Mass divided by volume."
What is gas volume at room temperature?,"Twenty four dm cubed per mole."
What is empirical formula?,"Simplest whole number ratio."
What is molecular formula?,"Actual number of atoms in molecule."
What is oxidation number?,"Charge an atom would have if ionic."
What is redox reaction?,"Reaction involving oxidation and reduction."
What is cracking?,"Breaking long hydrocarbons into shorter ones."
What is hydrogenation?,"Adding hydrogen to unsaturated compound."
What is biodegradable?,"Can be broken down by microorganisms."
What is hard water?,"Water containing calcium or magnesium ions."
What is soft water?,"Water without calcium or magnesium ions."
What is precipitation reaction?,"Two solutions form insoluble solid."
What is salt?,"Product formed from acid and base reaction."
What is electrolysis of molten aluminium oxide?,"Extraction of aluminium from bauxite."
What is blast furnace used for?,"Extracting iron from iron ore."
What is limestone used for in blast furnace?,"Removing impurities as slag."
What is slag?,"Waste product from blast furnace."
What is Haber equilibrium affected by?,"Temperature pressure and concentration."
What is percentage error?,"Difference divided by actual times one hundred."
What is strong acid?,"Fully ionises in water."
What is weak acid?,"Partially ionises in water."
What is empirical formula calculation based on?,"Mole ratio."
What is yield lower than one hundred percent due to?,"Side reactions incomplete reactions losses."
