Front,Back
What was the Cold War?,A period of political ideological and military tension between the USA and the USSR
When did the Cold War begin?,Around 1945 after World War II
What ideological differences divided the USA and USSR?,Capitalism versus communism
Who led the USA during the early Cold War?,President Harry Truman
Who led the Soviet Union after World War II?,Joseph Stalin
What was the Yalta Conference?,A meeting between Allied leaders in 1945 to discuss post war Europe
Which leaders attended Yalta?,Roosevelt Churchill and Stalin
What agreement was made about Germany at Yalta?,Germany would be divided into occupation zones
What was the Potsdam Conference?,A meeting of Allied leaders after Germany's defeat
Why did tensions rise at Potsdam?,Disagreements over the future of Europe
What was the Iron Curtain?,A term describing the division between Eastern and Western Europe
Who used the term Iron Curtain?,Winston Churchill
What was the Truman Doctrine?,A US policy to contain the spread of communism
When was the Truman Doctrine announced?,1947
What was the Marshall Plan?,US economic aid to rebuild Western Europe
Why did the USSR oppose the Marshall Plan?,It increased American influence in Europe
What organisation did the USSR create in response?,COMECON
What was COMECON?,An economic organisation of communist countries
What was NATO?,A military alliance of Western countries
When was NATO formed?,1949
What was the Warsaw Pact?,A military alliance of communist countries
When was the Warsaw Pact formed?,1955
What caused the Berlin Blockade?,The USSR blocked land routes to West Berlin
When did the Berlin Blockade occur?,1948 to 1949
How did the West respond to the blockade?,The Berlin Airlift
What was the Berlin Airlift?,Supplying West Berlin by air
Why was the Berlin Airlift significant?,It demonstrated Western commitment to Berlin
What war marked the first major Cold War conflict?,The Korean War
When did the Korean War begin?,1950
Why did the Korean War begin?,North Korea invaded South Korea
Which countries supported South Korea?,The United States and United Nations forces
Which country supported North Korea?,China
What was the outcome of the Korean War?,Korea remained divided at the 38th parallel
Who became leader of the USSR after Stalin?,Nikita Khrushchev
What policy did Khrushchev introduce?,De-Stalinisation
What crisis occurred in Hungary in 1956?,Hungarian uprising against Soviet control
Why did the Soviet Union invade Hungary?,To maintain control over Eastern Europe
What was the Berlin Wall?,A barrier dividing East and West Berlin
When was the Berlin Wall built?,1961
Why was the Berlin Wall built?,To stop East Germans fleeing to the West
What was the Cuban Missile Crisis?,A confrontation between the USA and USSR over nuclear missiles in Cuba
When did the Cuban Missile Crisis occur?,1962
Who led the USA during the crisis?,John F Kennedy
Who led the USSR during the crisis?,Nikita Khrushchev
Why was the Cuban Missile Crisis dangerous?,It brought the world close to nuclear war
How was the Cuban Missile Crisis resolved?,The USSR removed missiles from Cuba
What was détente?,A period of reduced tensions between the USA and USSR
When did détente occur?,1970s
What agreement limited nuclear weapons in the 1970s?,SALT I
What did SALT stand for?,Strategic Arms Limitation Talks
What was the Helsinki Accords?,An agreement improving relations between East and West
What event increased Cold War tensions in 1979?,The Soviet invasion of Afghanistan
Why did the USSR invade Afghanistan?,To support a communist government
What was the US response to the invasion?,Support for Afghan resistance fighters
Who became US president in 1981?,Ronald Reagan
Why did Reagan increase military spending?,To pressure the Soviet Union economically
Who became Soviet leader in 1985?,Mikhail Gorbachev
What policy introduced openness in the USSR?,Glasnost
What policy restructured the Soviet economy?,Perestroika
Why did Gorbachev introduce reforms?,The Soviet economy was struggling
What happened to communist governments in Eastern Europe in 1989?,They collapsed
What event symbolised the end of division in Germany?,The fall of the Berlin Wall
When did the Berlin Wall fall?,1989
When did the Soviet Union collapse?,1991
Why did the Soviet Union collapse?,Economic problems political reforms and nationalist movements
Why was the Cold War historically significant?,It shaped global politics for nearly fifty years
