Front,Back
What is the Problem of Evil?,The challenge of explaining how evil and suffering exist if God is all-powerful and all-loving.
What type of problem is the Problem of Evil?,It is a posteriori because it is based on experience of suffering.
What is natural evil?,Suffering caused by natural events such as earthquakes or disease.
What is moral evil?,Suffering caused by human actions such as murder or war.
What is the inconsistent triad?,God is omnipotent, God is omnibenevolent, Evil exists.
Who first presented the inconsistent triad?,Epicurus.
Why is the triad inconsistent?,Because if God is all-powerful and loving, evil should not exist.
What is the logical problem of evil?,The claim that God and evil cannot logically coexist.
What is the evidential problem of evil?,The claim that the amount of suffering makes God’s existence unlikely.
What is Augustine’s theodicy?,Evil is the result of human free will and the Fall.
What is original sin?,The inherited sinful nature of humans following Adam and Eve’s disobedience.
What is Augustine’s view of evil?,Evil is a privation or absence of good.
What is Irenaeus’ theodicy?,Evil exists to develop moral and spiritual growth.
What is soul-making?,The process of developing virtues such as courage and compassion.
What is Hick’s contribution?,He developed Irenaeus’ ideas for a modern audience.
One strength of Augustine’s theodicy?,It preserves God’s omnipotence and goodness.
One weakness of Augustine’s theodicy?,It relies on a literal interpretation of the Fall.
One strength of Irenaeus’ theodicy?,It explains why suffering can have a purpose.
One weakness of Irenaeus’ theodicy?,It struggles to explain extreme suffering.
