Front,Back
What is an entrepreneur?,A person who starts and runs a business taking financial risks.
What are the characteristics of an entrepreneur?,Risk-taking creativity determination and leadership.
Why are entrepreneurs important?,They create jobs innovation and economic growth.
What is enterprise?,The ability to develop ideas and take initiative.
What is innovation?,Introducing new ideas products or processes.
Why is innovation important in business?,It helps businesses stay competitive and meet customer needs.
What is risk in business?,The possibility of financial loss or failure.
Why do entrepreneurs take risks?,To achieve profits growth and success.
What is reward in business?,The benefits gained from taking risks.
What rewards do entrepreneurs seek?,Profit independence and personal achievement.
What is a business idea?,A concept for a product or service to meet customer needs.
What is a business opportunity?,A situation where market conditions allow success.
What is a startup business?,A newly created business.
What is a business objective?,A target or goal a business aims to achieve.
What are financial objectives?,Goals related to money and profits.
What are non-financial objectives?,Goals not directly linked to money.
Give one example of a financial objective.,Increasing profit.
Give one example of a non-financial objective.,Improving customer satisfaction.
Why do businesses set objectives?,To provide direction and measure success.
What is profit maximisation?,Trying to achieve the highest possible profit.
What is revenue maximisation?,Trying to achieve the highest possible sales revenue.
What is survival as a business objective?,Continuing to operate during difficult periods.
What is growth as a business objective?,Increasing the size or market share of a business.
What is market share?,The percentage of sales controlled by a business.
What is social responsibility?,Considering the impact of business decisions on society.
What is corporate social responsibility CSR?,Businesses acting responsibly towards society and the environment.
Why is CSR important?,It improves reputation and customer trust.
What is sustainability?,Meeting current needs without harming future generations.
Why is sustainability important for businesses?,Customers and governments increasingly expect responsible behaviour.
What is a mission statement?,A statement explaining a business’s purpose and values.
Why is a mission statement useful?,It guides decision-making and motivates employees.
What is a vision statement?,A statement describing long-term business aims.
What is stakeholder?,Any person or group affected by a business.
Who are internal stakeholders?,People within the business such as employees and managers.
Who are external stakeholders?,Groups outside the business such as customers and suppliers.
Why are stakeholders important?,Their support affects business success.
What is stakeholder conflict?,When stakeholder interests clash.
Give one example of stakeholder conflict.,Employees wanting higher wages while owners want higher profits.
What is leadership?,The ability to influence and guide people.
Why is leadership important?,It helps businesses achieve objectives.
What is management?,Organising and controlling business resources.
What is strategic decision-making?,Long-term decisions affecting the whole business.
What is tactical decision-making?,Short-term decisions focusing on daily operations.
What is an autocratic leader?,A leader who makes decisions alone.
What is a democratic leader?,A leader who involves employees in decisions.
What is a laissez-faire leader?,A leader who gives employees freedom to make decisions.
What are the advantages of democratic leadership?,Improves motivation and teamwork.
What are the disadvantages of autocratic leadership?,Can reduce employee motivation.
What is delegation?,Passing responsibility to employees.
Why is delegation important?,It saves management time and develops employees.
What is organisational culture?,The values attitudes and behaviours within a business.
Why is organisational culture important?,It influences motivation and performance.
