"Front","Back"
"What is an algorithm?","A step-by-step procedure for solving a problem"
"What is a deterministic algorithm?","Produces same output for same input every time"
"What is a non-deterministic algorithm?","May produce different outcomes"
"What is a search algorithm?","Finds a specific value in a data structure"
"What is a sorting algorithm?","Arranges data in a particular order"
"What is linear search?","Checks each element sequentially"
"What is binary search?","Divides sorted list in half repeatedly"
"What condition is needed for binary search?","Data must be sorted"
"What is worst-case linear search complexity?","O(n)"
"What is best-case linear search complexity?","O(1)"
"What is worst-case binary search complexity?","O(log n)"
"What is an example of divide and conquer?","Binary search, merge sort"
"What is bubble sort?","Repeatedly swaps adjacent elements"
"What is insertion sort?","Builds sorted list one item at a time"
"What is merge sort?","Splits list and merges sorted halves"
"What is quick sort?","Uses pivot to partition list"
"What is pivot in quick sort?","Value used to split data"
"What is comparison-based sorting?","Uses comparisons between elements"
"What is stable sorting algorithm?","Maintains order of equal elements"
"What is unstable sorting algorithm?","May change order of equal elements"
"What is algorithm efficiency?","How well it uses time and memory"
"What is time complexity?","How runtime grows with input size"
"What is space complexity?","Memory used by algorithm"
"What is Big O notation?","Describes upper bound of complexity"
"What is O(1)?","Constant time"
"What is O(n)?","Linear time"
"What is O(n^2)?","Quadratic time"
"What is O(log n)?","Logarithmic time"
"What is worst-case complexity?","Maximum time taken"
"What is best-case complexity?","Minimum time taken"
"What is average-case complexity?","Typical time taken"
"What is brute force algorithm?","Tries all possibilities"
"What is heuristic algorithm?","Uses rules of thumb"
"What is greedy algorithm?","Makes best local choice"
"What is recursion?","Function calling itself"
"What is base case?","Stopping condition in recursion"
"What is recursive case?","Part where function calls itself"
"What is iteration?","Repeating instructions using loops"
"What is algorithm correctness?","Produces correct output"
"What is trace table?","Tracks variable values step-by-step"
"What is pseudocode?","Structured description of algorithm"
"What is flowchart?","Diagram of algorithm"
"What is selection in algorithms?","Decision-making structure"
"What is iteration in algorithms?","Looping structure"
"What is sequence?","Steps executed in order"
"What is algorithm input?","Data given to algorithm"
"What is algorithm output?","Result produced"
"What is termination?","Algorithm must end"
"What is infinite loop?","Loop that never stops"
"What is algorithm design?","Creating efficient solutions"
"What is decomposition in algorithms?","Breaking problem into parts"
"What is abstraction in algorithms?","Ignoring unnecessary detail"
"What is stepwise refinement?","Developing algorithm in stages"
"What is top-down design?","Starting from overall solution"
"What is bottom-up design?","Building from smaller components"
"What is algorithm optimisation?","Improving efficiency"
"What is trade-off?","Balancing time vs space"
"What is linear search pseudocode?","FOR each item IF match RETURN index"
"What is binary search pseudocode?","Compare middle and divide search"
"What is bubble sort complexity?","O(n^2)"
"What is merge sort complexity?","O(n log n)"
"What is quick sort average complexity?","O(n log n)"
"What is quick sort worst-case complexity?","O(n^2)"
"What is insertion sort complexity?","O(n^2)"
"What is selection sort?","Finds smallest element and swaps"
"What is selection sort complexity?","O(n^2)"
"What is algorithm scalability?","Performance with larger inputs"
"What is algorithm robustness?","Handles errors well"
"What is input validation?","Checking data correctness"
"What is boundary testing?","Testing edge values"
"What is normal test data?","Valid input"
"What is invalid test data?","Incorrect input"
"What is extreme test data?","Edge values"
"What is algorithm trace example?","Tracking loop values"
"What is nested loop complexity?","Often O(n^2)"
"What is logarithmic growth?","Slower growth rate"
"What is exponential growth?","Rapid growth rate"
"What is recursive stack?","Stores function calls"
"What is stack overflow?","Too many recursive calls"
"What is tail recursion?","Recursive call is last operation"
"What is iterative equivalent?","Loop version of recursion"
"What is sorting stability importance?","Preserves order"
"What is algorithm performance metric?","Time and memory"
"What is space-time trade-off?","Using more memory to reduce time"
"What is dynamic programming?","Solves subproblems once"
"What is memoisation?","Caching results"
"What is overlapping subproblems?","Repeated smaller problems"
"What is optimal substructure?","Solution built from sub-solutions"
"What is divide step?","Splitting problem"
"What is conquer step?","Solving subproblems"
"What is combine step?","Merging solutions"
"What is greedy choice property?","Local optimum leads to global"
"What is algorithm complexity class?","Category of performance"
"What is polynomial time?","Time proportional to n^k"
"What is exponential time?","Time proportional to 2^n"
"What is NP problems?","Hard computational problems"
"What is NP-complete?","Most difficult problems in NP"
"What is decision problem?","Yes/no answer problem"
"What is graph search algorithm?","Traverses graph nodes"
"What is breadth-first search (BFS)?","Searches level by level"
"What is depth-first search (DFS)?","Searches as deep as possible"
"What structure does BFS use?","Queue"
"What structure does DFS use?","Stack"
"What is shortest path algorithm?","Finds minimum path"
"What is Dijkstra's algorithm?","Finds shortest path in weighted graph"
"What is greedy approach in Dijkstra?","Chooses smallest distance"
"What is visited set?","Tracks explored nodes"
"What is priority queue in algorithms?","Stores elements by priority"
"What is adjacency matrix in algorithms?","Represents graph"
"What is adjacency list in algorithms?","Efficient graph representation"
"What is cycle detection?","Finding loops in graph"
"What is topological sort?","Ordering of nodes in DAG"
"What is DAG?","Directed acyclic graph"
"What is backtracking?","Trying solutions and undoing"
"What is recursion tree?","Visual of recursive calls"
"What is pruning?","Cutting unnecessary paths"
"What is heuristic search?","Uses estimate to guide search"
"What is A* algorithm?","Heuristic pathfinding"
"What is evaluation function?","Estimates cost"
