Front,Back
What was the Ancien Régime?,The political and social system in France before the Revolution
Who ruled France before the Revolution?,King Louis XVI
What were the Three Estates?,The clergy the nobility and the Third Estate
What percentage of the population was the Third Estate?,About 97 percent
Why was the Third Estate dissatisfied?,They paid most taxes but had little political power
What financial crisis faced France in the 1780s?,Huge national debt caused by wars and royal spending
Which wars increased French debt?,The Seven Years War and the American War of Independence
Why did Louis XVI call the Estates General?,To address the financial crisis
When did the Estates General meet?,1789
Why did the Estates General cause conflict?,Voting was traditionally by estate rather than by head
What was the National Assembly?,A body formed by the Third Estate to represent the people
What was the Tennis Court Oath?,A pledge not to separate until a constitution was written
When was the Tennis Court Oath?,June 1789
What was the Storming of the Bastille?,An attack on a royal fortress prison in Paris
When did the Storming of the Bastille occur?,14 July 1789
Why was the Bastille attacked?,Parisians feared a royal crackdown
Why was the Bastille symbolically important?,It represented royal tyranny
What was the Great Fear?,A wave of rural panic and attacks on nobles in 1789
Why did peasants attack noble estates?,Fear of aristocratic plots against them
What were feudal privileges?,Special rights enjoyed by the nobility
When were feudal privileges abolished?,August 1789
What was the Declaration of the Rights of Man?,A document outlining rights and freedoms
What ideas influenced the Declaration?,Enlightenment ideas about liberty and equality
What was the Civil Constitution of the Clergy?,A law placing the Church under state control
Why did the Civil Constitution divide France?,Many Catholics opposed state control of religion
Why did Louis XVI attempt to flee France?,He feared losing power
What was the Flight to Varennes?,Louis XVI's failed escape attempt in 1791
Why did the Flight to Varennes damage the monarchy?,It showed the king opposed the Revolution
What political groups emerged during the Revolution?,Jacobins and Girondins
Who were the Jacobins?,Radical revolutionaries supporting drastic change
Who were the Girondins?,More moderate revolutionaries
What caused war in 1792?,France declared war on Austria and Prussia
Why did revolutionary leaders support war?,They hoped to unite France and spread revolution
What happened on 10 August 1792?,The monarchy was overthrown
What happened to Louis XVI?,He was executed in January 1793
Why was Louis XVI executed?,He was accused of treason
What was the Reign of Terror?,A period of radical repression led by the Jacobins
Who led the Reign of Terror?,Maximilien Robespierre
Why did the Terror occur?,Fear of internal and external enemies
What was the Committee of Public Safety?,The body that governed France during the Terror
What was the guillotine?,A machine used for executions during the Revolution
Why was the guillotine symbolic?,It represented revolutionary justice
What was the Law of Suspects?,A law allowing arrest of suspected enemies
When was the Law of Suspects passed?,1793
What happened to many suspected enemies?,They were executed
What happened during the Thermidorian Reaction?,Robespierre was overthrown and executed
When did Robespierre fall?,1794
What government followed the Terror?,The Directory
What was the Directory?,A government of five directors ruling France
Why was the Directory unpopular?,It was seen as corrupt and ineffective
What economic problems affected France?,Inflation and food shortages
Who rose to prominence during the Directory?,Napoleon Bonaparte
Why was Napoleon popular?,He achieved military success
What was the Coup of 18 Brumaire?,Napoleon's takeover of power in 1799
What government replaced the Directory?,The Consulate
What position did Napoleon hold?,First Consul
Why did Napoleon stabilise France?,He restored order and reformed administration
What was the Napoleonic Code?,A legal system establishing equality before the law
Why was the Napoleonic Code significant?,It spread revolutionary principles across Europe
What role did nationalism play?,It increased support for revolutionary change
What was the impact of the Revolution?,It ended absolute monarchy in France
Why was the French Revolution historically significant?,It inspired political change across Europe
What role did Enlightenment ideas play?,They promoted liberty equality and rights
What was popular sovereignty?,The idea that political power belongs to the people
What role did the bourgeoisie play?,They led demands for political reform
Why did radicalisation occur?,War economic crisis and political divisions
What was the significance of 1792?,France became a republic
What were sans culottes?,Radical working class revolutionaries
Why did the sans culottes influence politics?,They pressured leaders to adopt radical policies
What was the Cult of the Supreme Being?,Robespierre's attempt to create a civic religion
Why did Robespierre lose support?,Fear of his increasing power
What lesson did the Revolution show?,Political instability can lead to dictatorship
What long term impact did the Revolution have?,Spread of democratic and nationalist ideas
