Front,Back
What is resource security?,Reliable access to sufficient affordable and sustainable resources.
What are the three main resource insecurities?,Food water and energy.
What is food security?,Reliable access to safe nutritious and sufficient food.
What is water security?,Reliable access to safe and affordable water supplies.
What is energy security?,Reliable access to affordable energy sources.
What factors increase demand for food?,Population growth rising incomes and dietary changes.
How does rising wealth affect food demand?,Increases demand for meat and dairy products.
What is the global water cycle?,The continuous movement of water between atmosphere land and oceans.
What is physical water scarcity?,Insufficient natural water resources to meet demand.
What is economic water scarcity?,Water exists but lack of infrastructure prevents access.
What causes water insecurity?,Population growth climate change pollution and over-abstraction.
What is aquifer depletion?,Overuse of underground water reserves.
What is virtual water?,The water embedded in products through production.
What is the water footprint?,Total volume of water used to produce goods and services.
What is desalination?,The process of removing salt from seawater.
What are advantages of desalination?,Provides reliable supply in arid regions.
What are disadvantages of desalination?,High cost and energy use.
What is food production intensification?,Increasing yields using fertilisers irrigation and technology.
What are GM crops?,Genetically modified crops designed to increase resistance or yield.
What is sustainable agriculture?,Farming that meets present needs without harming future supply.
What is organic farming?,Agriculture avoiding synthetic chemicals.
What is food sovereignty?,The right of people to control their own food systems.
What is energy mix?,The range of energy sources used in a country.
What are fossil fuels?,Coal oil and natural gas.
What are renewable energy sources?,Energy sources naturally replenished like solar and wind.
What is fracking?,Extraction of shale gas using high-pressure water.
What are advantages of renewable energy?,Low carbon emissions and sustainable supply.
What are disadvantages of renewable energy?,Intermittency and high initial cost.
What is peak oil?,The point at which oil production reaches maximum output.
What is energy dependency?,Reliance on imported energy supplies.
What is energy insecurity?,Unreliable or unaffordable energy supply.
How does climate change affect resource security?,Alters rainfall patterns crop yields and water availability.
What is the nexus approach?,Managing food water and energy together due to interconnections.
What is sustainable yield?,Maximum rate of resource use without depletion.
What is overfishing?,Catching fish faster than they can reproduce.
How does overfishing threaten food security?,Reduces fish stocks and marine ecosystems.
What is land grabbing?,Large-scale land acquisitions by foreign investors.
How can land grabbing affect local communities?,Displacement and loss of livelihoods.
What is biofuel production?,Growing crops to produce fuel.
How can biofuels affect food security?,Compete with food crops for land.
What is drought?,Extended period of low rainfall.
How does drought impact food supply?,Reduces crop yields and livestock productivity.
What is water conflict?,Disputes over shared water resources.
Give an example of transboundary water conflict.,Disputes over the Nile River basin.
What is inter-basin water transfer?,Moving water from surplus to deficit regions.
What is circular economy?,Reducing waste by reusing and recycling resources.
What is sustainable energy transition?,Shift from fossil fuels to renewables.
How can technology improve resource security?,Through innovation efficiency and alternative sources.
What is resilience in resource systems?,Ability to withstand shocks and recover.
What exam skill is key in resource security essays?,Balancing environmental economic and social arguments with evaluation.

