"Front","Back"
"What is crime?","Behaviour that breaks the law."
"What is deviance?","Behaviour that breaks social norms."
"What is social control?","Mechanisms used to regulate behaviour."
"What is formal social control?","Control by institutions such as police and courts."
"What is informal social control?","Control through family, peers and community."
"What is the functionalist view of crime?","Crime is inevitable and can be beneficial."
"What did Durkheim argue about crime?","Crime is normal and serves positive functions."
"What are Durkheim’s functions of crime?","Boundary maintenance and social change."
"What is boundary maintenance?","Reinforcing norms through punishment."
"What is social change through crime?","Crime can highlight need for change."
"What is anomie?","A state of normlessness."
"What did Merton argue about crime?","Crime results from strain between goals and means."
"What are Merton’s five responses?","Conformity, innovation, ritualism, retreatism, rebellion."
"What is conformity?","Accepting goals and means."
"What is innovation?","Accepting goals but using illegitimate means."
"What is ritualism?","Rejecting goals but following rules."
"What is retreatism?","Rejecting both goals and means."
"What is rebellion?","Replacing goals and means."
"What is a criticism of Merton?","Ignores crimes without economic motive."
"What is subcultural theory?","Crime arises from group values."
"What did Cohen argue?","Working-class boys experience status frustration."
"What is status frustration?","Inability to achieve status leads to deviance."
"What did Cloward and Ohlin argue?","Different subcultures arise from opportunities."
"What are the three subcultures?","Criminal, conflict, retreatist."
"What is labelling theory?","Crime is socially constructed through labels."
"Who developed labelling theory?","Howard Becker."
"What is the self-fulfilling prophecy?","Labels influence behaviour to become true."
"What is a master status?","A label that dominates identity."
"What is a deviant career?","Progression into deviance due to labelling."
"What is primary deviance?","Initial minor deviant act."
"What is secondary deviance?","Deviance resulting from labelling."
"What is a criticism of labelling theory?","Ignores causes of initial deviance."
"What is moral panic?","Public fear exaggerated by media."
"Who developed moral panic theory?","Stan Cohen."
"What are folk devils?","Groups blamed for social problems."
"What is deviancy amplification?","Increased deviance due to media reaction."
"What is the Marxist view of crime?","Crime reflects class inequality."
"What is selective law enforcement?","Laws applied more to certain groups."
"What is ruling class ideology?","Ideas that justify inequality."
"What is white-collar crime?","Crime by professionals."
"What is corporate crime?","Crime committed by companies."
"What did Chambliss argue?","Laws protect capitalist interests."
"What is a criticism of Marxism?","Ignores non-class crime."
"What is realism in sociology?","Focus on practical solutions to crime."
"What is left realism?","Crime is real and affects working class most."
"What are causes of crime (left realism)?","Relative deprivation, marginalisation, subculture."
"What is relative deprivation?","Feeling deprived compared to others."
"What is marginalisation?","Lack of power and representation."
"What is right realism?","Crime caused by lack of control."
"What are causes of crime (right realism)?","Poor socialisation, rational choice."
"What is the underclass?","Group with weak social bonds."
"What is zero tolerance policing?","Strict enforcement of minor offences."
"What is a criticism of right realism?","Blames individuals not structure."
"What are crime statistics?","Data on crime levels."
"What is the dark figure of crime?","Unreported crime."
"What is official statistics?","Government recorded data."
"What is a victim survey?","Survey asking people about crimes."
"What is a self-report study?","People report their own crimes."
"What is a criticism of official stats?","They underestimate crime."
"What is ethnicity and crime?","Different groups represented differently."
"What is institutional racism?","Bias within criminal justice system."
"What is gender and crime?","Men commit more crime than women."
"What is the chivalry thesis?","Women treated more leniently."
"What is class and crime?","Working class more likely to be criminalised."
"What is media representation of crime?","Media shapes perceptions."
"What is sensationalism?","Exaggerated reporting."
"What is globalisation and crime?","Increase in transnational crime."
"What is cybercrime?","Crime using technology."
"What is green crime?","Environmental harm."
"What is state crime?","Crime committed by governments."
"What is surveillance?","Monitoring behaviour."
"What is social exclusion?","Being excluded from society."
"What is a key AO3 evaluation point?","Crime is influenced by multiple factors."
"What is a strong essay tip?","Compare theories and evaluate."
"What is AO1?","Knowledge."
"What is AO2?","Application."
"What is AO3?","Evaluation."
"What is a strong evaluation phrase?","However, this theory is limited because..."
"What is a strong conclusion tip?","Weigh up arguments and give judgement."
