Front,Back
When did Henry VII become king?,1485 after defeating Richard III at the Battle of Bosworth
Why was Henry VII's claim to the throne weak?,It came through the Beaufort line which had been barred from succession
What was the significance of the Battle of Bosworth?,It ended the Wars of the Roses and established Tudor rule
Why did Henry VII marry Elizabeth of York?,To unite the houses of Lancaster and York and strengthen his claim
What was the purpose of the Tudor Rose?,It symbolised the union of York and Lancaster
Who was Lambert Simnel?,A pretender claiming to be the Earl of Warwick
What happened to Lambert Simnel?,He was defeated at the Battle of Stoke in 1487
Why was the Battle of Stoke significant?,It was the final battle of the Wars of the Roses
Who was Perkin Warbeck?,A pretender claiming to be Richard Duke of York
Why was Perkin Warbeck a serious threat?,He gained foreign support from Burgundy and Scotland
What role did Margaret of Burgundy play?,She supported Yorkist pretenders against Henry VII
What were bonds and recognisances?,Financial penalties used to control the nobility
Why did Henry VII use bonds and recognisances?,To ensure loyalty and obedience from the nobility
What was the Council Learned in the Law?,A body that enforced royal financial rights
Why was the Council Learned unpopular?,It aggressively collected money through bonds and fines
What was Henry VII's policy towards the nobility?,To reduce their power and prevent overmighty subjects
What was the significance of the Treaty of Medina del Campo?,It secured an alliance with Spain in 1489
Who married Catherine of Aragon?,Arthur Tudor first then Henry VIII
Why was Arthur's marriage politically important?,It strengthened England's alliance with Spain
What financial policies strengthened Henry VII's rule?,Efficient taxation feudal dues and customs duties
Why was Henry VII cautious in foreign policy?,He prioritised financial stability and security
What was the role of Justices of the Peace?,Local officials maintaining law and order
How did Henry VII strengthen royal authority locally?,By expanding the role of Justices of the Peace
What was the purpose of the Star Chamber?,To deal with powerful nobles outside normal courts
When did Henry VIII become king?,1509
Why was Henry VIII initially popular?,He represented a break from Henry VII's cautious rule
Who was Cardinal Wolsey?,Henry VIII's chief minister from 1515 to 1529
What was the significance of the Field of the Cloth of Gold?,A diplomatic meeting between Henry VIII and Francis I
Why did Wolsey fall from power?,He failed to secure Henry's divorce from Catherine of Aragon
What was the Great Matter?,Henry VIII's attempt to annul his marriage to Catherine of Aragon
Why did Henry VIII want a divorce?,He lacked a male heir and wanted to marry Anne Boleyn
What was the role of the Pope in the divorce crisis?,Only the Pope could grant an annulment
Why did the Pope refuse Henry's request?,He was under pressure from Emperor Charles V
What was the Act of Supremacy 1534?,It made Henry VIII Supreme Head of the Church of England
Why was the Act of Supremacy significant?,It broke England from papal authority
What was the Dissolution of the Monasteries?,The closure and confiscation of monastic institutions
Why did Henry dissolve the monasteries?,To increase royal wealth and power
What was the Pilgrimage of Grace?,A northern rebellion against religious reforms in 1536
Why did the Pilgrimage of Grace occur?,Opposition to dissolution and religious change
How did Henry respond to the Pilgrimage of Grace?,He suppressed it and executed leaders
Who was Thomas Cromwell?,Henry VIII's chief minister who drove religious reforms
What administrative reforms did Cromwell introduce?,Expansion of royal bureaucracy and financial courts
What happened to Anne Boleyn?,She was executed in 1536
Why was Anne Boleyn executed?,Accused of adultery treason and incest
What religious changes occurred under Edward VI?,Protestant reforms such as the Book of Common Prayer
Who ruled during Edward VI's minority?,A regency council dominated by Somerset then Northumberland
What was the Prayer Book Rebellion?,A rebellion against Protestant religious changes in 1549
What was Kett's Rebellion?,A rebellion in Norfolk over enclosure and economic grievances
Why was Edward VI's reign unstable?,Religious change and social unrest
Why did Mary I become queen in 1553?,She had strong hereditary legitimacy
What religion did Mary I restore?,Roman Catholicism
Why is Mary known as Bloody Mary?,She executed Protestants during her reign
What was Mary's marriage alliance?,She married Philip II of Spain
Why was Mary's marriage unpopular?,Fear of Spanish influence and loss of independence
What was the significance of the Marian persecutions?,They created Protestant martyrs and strengthened Protestant identity
When did Elizabeth I become queen?,1558
What was the Elizabethan Religious Settlement?,A compromise establishing Protestantism
What did the Act of Supremacy 1559 state?,Elizabeth was Supreme Governor of the Church
What did the Act of Uniformity require?,Use of the Book of Common Prayer
What were recusants?,People who refused to attend Anglican services
Why did Catholics threaten Elizabeth?,They supported Mary Queen of Scots as a rival claimant
Who was Mary Queen of Scots?,Elizabeth's Catholic cousin and rival
Why was Mary executed in 1587?,She was involved in Catholic plots against Elizabeth
What was the Spanish Armada?,A Spanish invasion fleet sent against England in 1588
Why did Spain attack England?,Religious conflict and English support for Dutch rebels
Why did the Armada fail?,Bad weather English naval tactics and logistical problems
What was Elizabeth's foreign policy aim?,To maintain stability and avoid major wars
What was the significance of the defeat of the Armada?,It boosted Elizabeth's prestige and national confidence
What was the role of the Privy Council?,Advising the monarch and administering government
Who were Elizabeth's key ministers?,William Cecil and Francis Walsingham
What was the role of Parliament under the Tudors?,To pass legislation and approve taxation
Why did Elizabeth manage Parliament carefully?,To maintain royal authority and avoid conflict
What were the Poor Laws?,Legislation to deal with poverty and unemployment
Why did poverty increase in the late Tudor period?,Population growth inflation and economic change
What was enclosure?,The fencing off of common land for private use
Why did enclosure cause unrest?,It displaced rural workers and increased poverty
What was the significance of the Tudor period?,It established stronger monarchy and religious change in England
