"Front","Back"
"What is statistics?","The study of data collection analysis and interpretation"
"What is data?","Information collected for analysis"
"What is discrete data?","Data that takes specific values"
"What is continuous data?","Data that can take any value within a range"
"What is a mean?","Average value"
"What is the formula for mean","Sum of values divided by number of values"
"What is median?","Middle value in ordered data"
"What is mode?","Most frequent value"
"What is variance?","Measure of spread of data"
"What is standard deviation?","Square root of variance"
"What is the formula for variance","Average of squared deviations from mean"
"What is range?","Difference between highest and lowest values"
"What is interquartile range?","Difference between upper and lower quartiles"
"What is quartile?","Divides data into four equal parts"
"What is box plot?","Graph showing distribution of data"
"What is outlier?","Value far from others"
"What is probability?","Likelihood of an event"
"What is probability scale?","Values between 0 and 1"
"What is impossible event probability","0"
"What is certain event probability","1"
"What is mutually exclusive events?","Events that cannot occur together"
"What is independent events?","Events that do not affect each other"
"What is conditional probability?","Probability given another event"
"What is formula for conditional probability","Probability of A and B divided by probability of B"
"What is tree diagram?","Diagram showing probabilities of outcomes"
"What is expected value?","Sum of outcomes times probabilities"
"What is random variable?","Variable with numerical outcomes"
"What is discrete random variable?","Takes countable values"
"What is continuous random variable?","Takes any value in interval"
"What is probability distribution?","List of probabilities for values"
"What is binomial distribution?","Fixed trials with two outcomes"
"What are conditions for binomial","Fixed trials independent constant probability"
"What is binomial formula","n choose x times p to x times 1 minus p to n minus x"
"What is mean of binomial distribution","n times p"
"What is variance of binomial distribution","n times p times 1 minus p"
"What is normal distribution?","Continuous symmetric distribution"
"What is shape of normal distribution","Bell shaped curve"
"What is mean in normal distribution","Centre of curve"
"What is standard deviation in normal","Spread of curve"
"What is standard normal distribution","Mean zero standard deviation one"
"What is z score?","Number of standard deviations from mean"
"What is z score formula","x minus mean divided by standard deviation"
"What is probability from normal distribution","Area under curve"
"What is symmetry of normal distribution","Symmetric about mean"
"What is 68 95 99.7 rule","Percentage within 1 2 3 standard deviations"
"What is hypothesis testing?","Testing a claim about population"
"What is null hypothesis?","Statement assumed true"
"What is alternative hypothesis?","Statement tested against null"
"What is significance level?","Probability of rejecting null incorrectly"
"What is p value?","Probability of observed result"
"What is critical region?","Values leading to rejection"
"What is type 1 error?","Rejecting true null hypothesis"
"What is type 2 error?","Failing to reject false null hypothesis"
"What is test statistic?","Value used to decide outcome"
"What is one tailed test?","Test in one direction"
"What is two tailed test?","Test in both directions"
"What is probability density function?","Function describing continuous probability"
"What is cumulative distribution function?","Probability up to a value"
"What is expected value of random variable","Mean of distribution"
"What is variance of random variable","Spread of distribution"
"What is linear transformation of variable","Changing scale or location"
"What is correlation?","Relationship between variables"
"What is positive correlation?","Variables increase together"
"What is negative correlation?","One increases other decreases"
"What is zero correlation?","No relationship"
"What is scatter graph?","Plot of two variables"
"What is line of best fit?","Line showing trend"
"What is regression line?","Best fitting line"
"What is interpolation?","Estimating within data range"
"What is extrapolation?","Estimating outside data range"
"What is sampling?","Selecting subset of population"
"What is bias?","Systematic error in sampling"
"What is random sample?","Each member equally likely"
"What is stratified sample?","Proportional sampling"
"What is reliability in data","Consistency of results"
"What is validity in data","Measures what intended"
"What is large data set?","Real world dataset used in exams"
"What is coding data?","Transforming values"
"What is histogram?","Graph for continuous data"
"What is frequency density?","Frequency divided by class width"
"What is cumulative frequency?","Running total of frequencies"
"What is median from graph?","Middle value from cumulative graph"
"What is quartiles from graph","Values at 25 percent and 75 percent"

