"Front","Back"
"What are transition metals?","Elements in the d-block that form at least one stable ion with incomplete d subshell."

"What are typical properties of transition metals?","High melting points, variable oxidation states, coloured compounds, catalysts."

"What is variable oxidation state?","Ability to form ions with different charges."

"What is a ligand?","Molecule or ion that donates a pair of electrons."

"What is a coordinate bond?","Bond where both electrons come from one atom."

"What is a complex ion?","Metal ion surrounded by ligands."

"What is coordination number?","Number of coordinate bonds to central metal."

"What is a monodentate ligand?","Forms one coordinate bond."
"What is a bidentate ligand?","Forms two coordinate bonds."

"What is an example of a monodentate ligand?","H₂O, NH₃, Cl⁻"
"What is an example of a bidentate ligand?","En (ethylenediamine)"

"What is a hexaaqua complex?","Metal ion surrounded by six water ligands."

"What is shape of [Cu(H₂O)₆]²⁺?","Octahedral"
"What is bond angle in octahedral?","90°"

"What is ligand substitution?","Ligand replaced by another."

"What happens when NH₃ added to Cu²⁺?","Forms deep blue complex."

"What happens when OH⁻ added to Cu²⁺?","Forms blue precipitate."

"What is precipitation?","Formation of solid from solution."

"What is amphoteric behaviour?","Can act as acid or base."

"What is an example of amphoteric hydroxide?","Al(OH)₃"

"What causes colour in transition metals?","d–d electron transitions."

"What is d–d transition?","Electron absorbs energy and moves between d orbitals."

"What is a catalyst?","Speeds up reaction without being used."

"What is heterogeneous catalyst?","Different phase."
"What is homogeneous catalyst?","Same phase."

"What is an example of transition metal catalyst?","Fe in Haber process."

"What is oxidation in transition metals?","Loss of electrons."
"What is reduction in transition metals?","Gain of electrons."

"What is standard electrode potential?","Measure of tendency to gain electrons."

"What is disproportionation?","Same element oxidised and reduced."

"What is a key exam tip?","Link colour to d-electron transitions."

"What is a common mistake?","Forgetting charges on complex ions."

"What is AO1 in transition metals?","Definitions."
"What is AO2 in transition metals?","Apply to reactions."
"What is AO3 in transition metals?","Explain colour and behaviour."

"What is a strong explanation phrase?","Electron absorbs energy and moves to higher d orbital."

"What is biggest exam gain?","Correct colours and reactions."

"What is a strong conclusion tip?","Link structure to properties."
