"Front","Back"
"What is language change?","The process by which language evolves over time."
"What is lexical change?","Changes in vocabulary over time."
"What is semantic change?","Changes in the meanings of words over time."
"What is grammatical change?","Changes in sentence structures and grammar."
"What is phonological change?","Changes in pronunciation patterns."
"What is prescriptivism?","The belief that language should follow strict rules and maintain standards."
"What is descriptivism?","The belief that language should be described as it is actually used."
"What is a neologism?","A newly created word or expression."
"What is borrowing in language?","Taking words from other languages."
"What is compounding?","Creating new words by joining two existing words."
"What is blending?","Combining parts of words to create a new word."
"What is clipping?","Shortening a word such as exam from examination."
"What is acronym formation?","Creating a word from the initial letters of a phrase."
"What is back formation?","Creating a new word by removing a perceived affix."
"What is conversion?","Changing a word class without altering the form."
"What is semantic broadening?","When a word's meaning becomes more general."
"What is semantic narrowing?","When a word's meaning becomes more specific."
"What is semantic amelioration?","When a word gains a more positive meaning."
"What is semantic pejoration?","When a word develops a more negative meaning."
"What is language standardisation?","The process of developing a consistent standard variety of language."
"What invention helped standardise English?","The printing press."
"Who introduced the printing press to England?","William Caxton."
"Why did printing influence language change?","It encouraged consistent spelling and grammar."
"What is the Great Vowel Shift?","A major change in English pronunciation during the 15th to 17th centuries."
"What is language prestige?","The social value attached to particular language varieties."
"What is overt prestige?","Status gained from using socially valued language forms."
"What is covert prestige?","Status gained within a social group by using non-standard language."
"What is dialect levelling?","The reduction of regional language differences."
"What is language contact?","Interaction between speakers of different languages."
"What is global English?","The worldwide spread and use of English."
"What are World Englishes?","Different global varieties of English."
"Who developed the Three Circles model of English?","Braj Kachru."
"What is the inner circle of English?","Countries where English is the first language."
"What is the outer circle of English?","Countries where English has an institutional role."
"What is the expanding circle of English?","Countries where English is used as a foreign language."
"What is technological influence on language?","New technologies creating new vocabulary and communication styles."
"What is digital communication?","Communication through electronic devices such as phones and computers."
"What is internet slang?","Informal language used online such as abbreviations and acronyms."
"What is text speak?","Abbreviated forms used in texting and online messaging."
"What is emoji?","A digital symbol used to represent emotions or ideas in communication."
"What is linguistic innovation?","The creation of new language forms."
"What is language attitude?","Beliefs people hold about language varieties."
"What is linguistic discrimination?","Judging people negatively based on their language use."
"What is accent discrimination?","Discrimination based on pronunciation or accent."
"What is historical context in language study?","The social and cultural background influencing language use."
"What is social influence on language change?","Changes in society affecting how language develops."
"What is political influence on language?","Government or policy shaping language use."
"What is cultural influence on language?","Cultural developments influencing vocabulary and communication."
"What is media influence on language?","Media introducing and spreading new words and expressions."
"What is language evolution?","The gradual development of language over time."
