Front,Back
What is unseen poetry?,Poetry that students analyse for the first time in the exam
Why do exams include unseen poetry?,To test analytical skills rather than memorisation
What should students look at first when analysing a poem?,The title and first impressions
Why is the title important?,It often hints at the theme or subject of the poem
What should students identify early?,The main theme or topic of the poem
What is the speaker in a poem?,The voice or persona speaking in the poem
Why is identifying the speaker important?,It helps understand perspective and tone
What is tone in poetry?,The attitude of the speaker toward the subject
What is mood in poetry?,The feeling created for the reader
What is imagery in poetry?,Descriptive language appealing to the senses
Why do poets use imagery?,To create vivid pictures and emotions
What is symbolism in poetry?,Objects or ideas representing deeper meanings
What is metaphor?,A comparison stating one thing is another
What is simile?,A comparison using like or as
What is personification?,Giving human qualities to non human things
What is alliteration?,Repetition of consonant sounds at the beginning of words
What is assonance?,Repetition of vowel sounds
What is repetition?,Repeated words or phrases for emphasis
What is enjambment?,When a sentence continues onto the next line
What effect can enjambment create?,It can create flow or tension
What is caesura?,A pause within a line of poetry
What effect can caesura create?,It can slow the rhythm or emphasise ideas
What is structure in poetry?,How the poem is organised
What is a stanza?,A group of lines in a poem
What is a volta?,A turning point in meaning or tone
What is rhyme scheme?,The pattern of rhyming words
What is rhythm?,The pattern of stressed and unstressed syllables
Why is structure important?,It shapes how meaning develops
What is contrast in poetry?,Opposing ideas presented together
What is juxtaposition?,Placing contrasting images or ideas side by side
How can tone change in a poem?,Through word choice and imagery
Why do poets use strong verbs?,To create vivid action and emotion
What is a theme in poetry?,The central idea explored in the poem
What are common poetry themes?,Love nature conflict identity and loss
Why should students quote words from the poem?,To support analysis
What is close language analysis?,Examining individual words in detail
What question should students ask about word choice?,Why the poet chose that specific word
What is connotation?,The associations connected with a word
What is literal meaning?,The direct meaning of a word
What is figurative meaning?,The symbolic or implied meaning
Why is context sometimes useful?,It helps explain ideas in the poem
How can students compare unseen poems?,By analysing similarities and differences
What is a comparative point?,A similarity or contrast between poems
Why is planning useful in unseen poetry?,It helps organise ideas quickly
How should students structure paragraphs?,Using point evidence and analysis
Why is analysis more important than summary?,Exams reward interpretation rather than retelling
What should students focus on in conclusions?,The overall meaning and impact of the poem
What is a strong unseen poetry answer?,Clear analysis of language structure and theme
