Front,Back
What is finance in business?,Money used to start run or grow a business.
Why do businesses need finance?,To pay for costs investment and expansion.
What is startup capital?,Money needed to start a business.
What is working capital?,Money used for day-to-day business operations.
Why is working capital important?,Businesses need enough cash to operate smoothly.
What is capital expenditure?,Money spent on long-term assets such as machinery.
What is revenue expenditure?,Money spent on daily operating expenses.
What is internal finance?,Finance generated within the business.
What is external finance?,Finance obtained from outside the business.
What are retained profits?,Profits kept in the business for future use.
What are the advantages of retained profits?,No interest payments and no loss of control.
What are the disadvantages of retained profits?,Limited amounts may be available.
What is sale of assets?,Selling business assets to raise money.
What are the disadvantages of selling assets?,The business may lose productive resources.
What is personal savings?,Money saved by owners and invested into the business.
What is a loan?,Borrowed money repaid with interest over time.
What are the advantages of loans?,Large sums available and repayments are predictable.
What are the disadvantages of loans?,Interest must be paid and debt increases risk.
What is a bank overdraft?,Permission to spend more money than is in a bank account.
What are the advantages of overdrafts?,Flexible short-term finance.
What are the disadvantages of overdrafts?,High interest rates and repayment can be demanded quickly.
What is trade credit?,Buying now and paying suppliers later.
What are the advantages of trade credit?,Improves short-term cash flow.
What are the disadvantages of trade credit?,Late payment may damage supplier relationships.
What is leasing?,Paying to use assets without owning them.
What are the advantages of leasing?,Lower upfront costs and easier upgrades.
What are the disadvantages of leasing?,Long-term costs may be higher.
What is hire purchase?,Paying for assets in instalments while using them immediately.
What are the advantages of hire purchase?,Spreads costs over time.
What are the disadvantages of hire purchase?,Interest increases total cost.
What is share capital?,Money raised by selling shares in a company.
What is shareholder?,A person owning shares in a company.
What are the advantages of share capital?,Large amounts of finance can be raised.
What are the disadvantages of share capital?,Owners may lose some control.
What is venture capital?,Investment from firms providing finance to high-risk businesses.
What are the advantages of venture capital?,Provides expertise and large investment.
What are the disadvantages of venture capital?,Investors may demand control or profit share.
What is crowdfunding?,Raising small amounts of money from many people online.
What are the advantages of crowdfunding?,Access to finance and marketing exposure.
What are the disadvantages of crowdfunding?,Funding targets may not be reached.
What is government grant?,Money provided by the government that does not need repayment.
What are the advantages of grants?,No repayment or interest required.
What are the disadvantages of grants?,Difficult to obtain and conditions may apply.
What is debt finance?,Borrowing money that must be repaid.
