"Front","Back"
"to adapt","adaptarse | adaptarse a los cambios"
"adaptation","la adaptación | rápida adaptación"
"to overcome","superar | superar dificultades"
"difficulty","la dificultad | grandes dificultades"
"effort","el esfuerzo | hacer esfuerzos"
"to aim for","aspirar a | aspirar al éxito"
"goal","la meta | alcanzar una meta"
"objective","el objetivo | objetivos a largo plazo"
"ambition","la ambición | tener ambición"
"determined","decidido | estar decidido"
"to lack","carecer de | carecer de motivación"
"performance","el rendimiento | rendimiento académico"
"to achieve academically","tener éxito académico"
"to drop out","abandonar | abandonar los estudios"
"attendance","la asistencia | buena asistencia"
"to skip classes","hacer novillos | faltar a clase"
"behaviour","el comportamiento | buen comportamiento"
"discipline","la disciplina | mantener disciplina"
"rule","la norma | seguir normas"
"punishment","el castigo | recibir castigo"
"reward","la recompensa | recibir recompensa"
"potential","el potencial | alcanzar el potencial"
"ability","la capacidad | desarrollar capacidades"
"qualification","la cualificación | cualificación profesional"
"training","la formación | recibir formación"
"apprenticeship","la formación profesional"
"career","la carrera | carrera profesional"
"to apply","solicitar | solicitar un trabajo"
"application","la solicitud | enviar una solicitud"
"interview","la entrevista | hacer una entrevista"
"employee","el empleado"
"employer","el empleador"
"colleague","el colega"
"boss","el jefe"
"promotion","el ascenso | conseguir un ascenso"
"to earn","ganar | ganar dinero"
"to save money","ahorrar dinero"
"to spend","gastar | gastar dinero"
"budget","el presupuesto | hacer un presupuesto"
"debt","la deuda | tener deudas"
"loan","el préstamo | pedir un préstamo"
"tax","el impuesto | pagar impuestos"
"inflation","la inflación"
"cost of living","el costo de vida"
"standard of living","el nivel de vida"
"globalisation","la globalización"
"international trade","el comercio internacional"
"import","la importación"
"export","la exportación"
"profit","el beneficio"
"loss","la pérdida"
"entrepreneur","el emprendedor"
"innovation","la innovación"
"digitalisation","la digitalización"
"automation","la automatización"
"artificial intelligence","la inteligencia artificial"
"remote work","el teletrabajo"
"flexible hours","horarios flexibles"
"work-life balance","el equilibrio entre trabajo y vida"
"burnout","el agotamiento"
"carbon footprint","la huella de carbono"
"greenhouse gases","los gases de efecto invernadero"
"global warming","el calentamiento global"
"sustainability","la sostenibilidad"
"renewable resources","recursos renovables"
"fossil fuels","combustibles fósiles"
"energy efficiency","la eficiencia energética"
"deforestation","la deforestación"
"biodiversity","la biodiversidad"
"environmental awareness","la conciencia ambiental"
"campaign","la campaña"
"activism","el activismo"
"protest","la protesta"
"law enforcement","la aplicación de la ley"
"fine","la multa"
"ban","la prohibición"
"restriction","la restricción"
"to regulate","regular"
"poverty rate","la tasa de pobreza"
"homelessness","la falta de vivienda"
"charity","la caridad"
"donation","la donación"
"volunteer","el voluntario"
"solidarity","la solidaridad"
"conflict","el conflicto"
"peace","la paz"
"crime","el crimen"
"offender","el delincuente"
"victim","la víctima"
"justice","la justicia"
"court","el tribunal"
"judge","el juez"
"sentence","la sentencia"
"prison","la prisión"
"rehabilitation","la rehabilitación"
"public services","los servicios públicos"
"funding","la financiación"
"digital divide","la brecha digital"
"social mobility","la movilidad social"
"equal opportunities","la igualdad de oportunidades"
"to improve access","mejorar el acceso"

