"Define a database","An organised collection of structured data"
"What is a DBMS?","Software used to manage and interact with databases"
"What is a table?","A structure that stores data in rows and columns"
"What is a record?","A row in a table representing one entity"
"What is a field?","A column in a table representing one attribute"
"What is a primary key?","A unique identifier for each record"
"What is a foreign key?","A field linking to a primary key in another table"
"What is a relational database?","A database made up of related tables"
"What is a flat file database?","A database consisting of a single table"
"What is redundancy?","Unnecessary duplication of data"
"What is data integrity?","Accuracy and consistency of data"
"What is an entity?","An object or concept stored in a database"
"What is an attribute?","A property of an entity"
"What is an ER diagram?","A diagram showing entities and relationships"
"What is cardinality?","The number of relationships between entities"
"What is one-to-one relationship?","One record relates to one record"
"What is one-to-many relationship?","One record relates to many records"
"What is many-to-many relationship?","Many records relate to many records"
"What is a composite key?","A primary key made from multiple fields"
"What is a candidate key?","A field that could be a primary key"
"What is an alternate key?","A candidate key not selected"
"What is indexing?","A method to speed up data retrieval"
"What is a data type?","Defines the kind of data stored"
"What is validation?","Checking data meets specific rules"
"What is verification?","Checking data is entered correctly"
"What is a lookup table?","Table used to restrict values"
"What is metadata?","Data about data"
"What is a schema?","The structure of a database"
"What is a query?","A request for data"
"What is SQL?","Structured Query Language"
"What does SELECT do?","Retrieves data from a table"
"What does INSERT do?","Adds new records"
"What does UPDATE do?","Modifies existing records"
"What does DELETE do?","Removes records"
"What does WHERE do?","Filters records"
"What does ORDER BY do?","Sorts results"
"What does GROUP BY do?","Groups records"
"What does HAVING do?","Filters grouped data"
"What is a JOIN?","Combines data from multiple tables"
"What is an INNER JOIN?","Returns matching records only"
"What is a LEFT JOIN?","Returns all left table records"
"What is a RIGHT JOIN?","Returns all right table records"
"What is a FULL JOIN?","Returns all records from both tables"
"What is COUNT?","Counts records"
"What is SUM?","Adds values"
"What is AVG?","Calculates average"
"What is MIN?","Finds smallest value"
"What is MAX?","Finds largest value"

"What is normalisation?","Process of structuring data to reduce redundancy"
"What is 1NF?","No repeating groups or arrays"
"What is 2NF?","No partial dependency on composite key"
"What is 3NF?","No transitive dependency"
"What is functional dependency?","One field depends on another"
"What is partial dependency?","Depends on part of key"
"What is transitive dependency?","Depends on non-key field"
"What is denormalisation?","Combining tables for performance"
"What is an insertion anomaly?","Cannot add data without missing fields"
"What is a deletion anomaly?","Deleting data removes other information"
"What is an update anomaly?","Inconsistent updates"
"What are ACID properties?","Rules for database transactions"
"What is atomicity?","All or nothing transaction"
"What is consistency?","Database remains valid"
"What is isolation?","Transactions do not interfere"
"What is durability?","Changes are permanent"
"What is a transaction?","A set of operations"
"What is COMMIT?","Saves changes"
"What is ROLLBACK?","Reverts changes"
"What is concurrency?","Multiple users accessing data"
"What is locking?","Preventing simultaneous access"
"What is deadlock?","Processes waiting indefinitely"
"What is a clustered index?","Data stored in index order"
"What is a non-clustered index?","Separate index structure"
"What is a stored procedure?","Predefined SQL code"
"What is a trigger?","Automatic action on data change"
"What is a view?","Virtual table from query"
"What is a data warehouse?","Large store for analysis"
"What is data mining?","Finding patterns in data"
"What is OLTP?","Transactional processing"
"What is OLAP?","Analytical processing"
"What is NoSQL?","Non-relational database"
"What is a document database?","Stores data as documents"
"What is key-value store?","Stores key-value pairs"
"What is a graph database?","Stores nodes and relationships"
"What is a distributed database?","Spread across locations"
"What is a cloud database?","Hosted online"
"What is backup?","Copy of database"
"What is recovery?","Restoring data"

"What is database security?","Protecting data from threats"
"What is authentication?","Verifying identity"
"What is authorisation?","Granting access"
"What is encryption?","Encoding data"
"What is hashing?","One-way encryption"
"What is SQL injection?","Malicious SQL input"
"What is a firewall?","Blocks unauthorised access"
"What is role-based access?","Permissions by role"
"What is an audit trail?","Record of actions"
"What is GDPR?","UK/EU data protection law"
"What is a data breach?","Unauthorised data access"
"What is referential integrity?","Foreign keys must match"
"What is entity integrity?","Primary key cannot be null"
"What is a constraint?","Rule applied to data"
"What is a unique constraint?","Ensures no duplicates"
"What is a check constraint?","Limits values"
"What is a default constraint?","Sets default value"
"What is a tuple?","A row in a table"
"What is a relation?","A table"
"What is a domain?","Valid values for a field"

"What is SQL SELECT example?","SELECT name FROM table"
"What is SQL WHERE example?","WHERE age > 18"
"What is SQL INSERT example?","INSERT INTO table VALUES"
"What is SQL UPDATE example?","UPDATE table SET field=value"
"What is SQL DELETE example?","DELETE FROM table"
"What is DISTINCT?","Removes duplicates"
"What is LIKE?","Pattern matching"
"What is wildcard?","Symbol like %"
"What is LIMIT?","Restricts number of results"
"What is OFFSET?","Skips rows"

"What is database performance?","Speed of operations"
"What is query optimisation?","Improving query efficiency"
"What is indexing importance?","Speeds up searching"
"What is redundancy impact?","Wastes storage"
"What is normalisation importance?","Improves structure"
"What is denormalisation importance?","Improves speed"
"What is transaction importance?","Ensures consistency"
"What is security importance?","Protects data"
"What is backup importance?","Prevents data loss"
"What is scalability?","Handles growth"
"What is database design goal?","Efficient reliable storage"
