Front,Back
What is cardiovascular endurance?,"Ability of heart and lungs to supply oxygen."
What is muscular endurance?,"Ability of muscles to work for long periods."
What is muscular strength?,"Maximum force a muscle can produce."
What is flexibility?,"Range of movement at a joint."
What is speed?,"Rate of movement."
What is power?,"Strength times speed."
What is agility?,"Ability to change direction quickly."
What is balance?,"Ability to maintain centre of mass."
What is coordination?,"Ability to use body parts together."
What is reaction time?,"Time taken to respond to stimulus."
What is the role of the heart?,"Pumps blood around body."
What is the role of arteries?,"Carry blood away from heart."
What is the role of veins?,"Carry blood to heart."
What is the role of capillaries?,"Exchange of oxygen and nutrients."
What is oxygenated blood?,"Blood containing oxygen."
What is deoxygenated blood?,"Blood without oxygen."
What is the role of lungs?,"Gas exchange."
What is tidal volume?,"Air breathed in normal breath."
What is aerobic respiration?,"Energy production with oxygen."
What is anaerobic respiration?,"Energy production without oxygen."
What is lactic acid?,"Waste product of anaerobic respiration."
What is the skeletal system?,"Body framework."
What are joints?,"Where bones meet."
What is a hinge joint?,"Joint allowing bending and straightening."
What is a ball and socket joint?,"Joint allowing rotation."
What is a tendon?,"Connects muscle to bone."
What is a ligament?,"Connects bone to bone."
What is a muscle?,"Tissue that contracts to move bones."
What is antagonist muscle?,"Opposes movement."
What is agonist muscle?,"Primary mover."
What is isometric contraction?,"Muscle contracts without movement."
What is isotonic contraction?,"Muscle shortens or lengthens."
What is a warm up?,"Preparation before activity."
What is a cool down?,"Gradual recovery after exercise."
What is fitness?,"Ability to meet demands of environment."
What is health?,"Complete physical mental and social wellbeing."
What is obesity?,"Excess body fat."
What is BMI?,"Body mass index."
What is training?,"Planned exercise to improve fitness."
What does FITT stand for?,"Frequency intensity time type."
What is overload?,"Increasing demand to improve."
What is specificity?,"Training specific to sport."
What is progression?,"Gradually increasing workload."
What is reversibility?,"Losing fitness when stopping."
What is interval training?,"Periods of work and rest."
What is continuous training?,"Non stop training."
What is circuit training?,"Series of exercises."
What is fartlek training?,"Speed play training."
What is weight training?,"Resistance training."
What is long term effects of exercise?,"Lower resting heart rate."
What is short term effect of exercise?,"Increased heart rate."
What is cardiac output?,"Heart rate times stroke volume."
What is stroke volume?,"Blood pumped per beat."
What is resting heart rate?,"Heart beats per minute at rest."
What is target heart rate?,"Optimal training zone."
What is VO2 max?,"Maximum oxygen uptake."
What is goal setting?,"Setting targets for improvement."
What is SMART goal?,"Specific measurable achievable realistic time bound."
What is motivation?,"Desire to succeed."
What is intrinsic motivation?,"Internal drive."
What is extrinsic motivation?,"External reward."
What is aggression?,"Intent to harm."
What is arousal?,"Level of alertness."
What is stress?,"Pressure affecting performance."
What is anxiety?,"Negative response to stress."
What is personality?,"Individual characteristics."
What is leadership?,"Ability to guide team."
What is cooperation?,"Working together."
What is coordination?,"Working body parts smoothly."
What is commercialisation?,"Money in sport."
What is sponsorship?,"Financial support from company."
What is media influence?,"Impact of media on sport."
What is hooliganism?,"Violent fan behaviour."
What is golden triangle?,"Sport media sponsorship link."
What is etiquette?,"Respectful behaviour in sport."
What is gamesmanship?,"Breaking spirit not rules."
What is deviance?,"Breaking rules."
What is doping?,"Using banned substances."
What is sedentary lifestyle?,"Inactive lifestyle."
What is balanced diet?,"All nutrients in right amounts."
What are carbohydrates?,"Main energy source."
What are proteins?,"Repair and growth."
What are fats?,"Energy and insulation."
What are vitamins?,"Support body functions."
What are minerals?,"Essential nutrients."
What is hydration?,"Maintaining fluid balance."
What is dehydration?,"Lack of water."
What is altitude training?,"Training at high altitude."
What is lactate threshold?,"Point lactic acid builds."
What is interval rest ratio?,"Work to rest balance."
What is skill?,"Learned ability."
What is ability?,"Inherited trait."
What is closed skill?,"Stable predictable environment."
What is open skill?,"Changing environment."
What is basic skill?,"Simple movement."
What is complex skill?,"Difficult movement."
What is fine skill?,"Small precise movement."
What is gross skill?,"Large muscle movement."
What is transfer of skills?,"Skills used in new activity."
What is positive transfer?,"Skill helps another."
What is negative transfer?,"Skill hinders another."
What is feedback?,"Information about performance."
What is intrinsic feedback?,"From performer."
What is extrinsic feedback?,"From coach."
What is guidance?,"Support to learn skill."
What is manual guidance?,"Physical help."
What is visual guidance?,"Demonstration."
What is verbal guidance?,"Spoken instructions."
What is practice?,"Repeating skill."
What is distributed practice?,"Practice with breaks."
What is massed practice?,"Practice without rest."
What is ethics?,"Moral principles."
What is fairness in sport?,"Equal opportunity."
What is sportsmanship?,"Fair play."
What is violence in sport?,"Intentional harm."
What is flexibility test?,"Sit and reach."
What is strength test?,"Grip dynamometer."
What is agility test?,"Illinois agility test."
What is power test?,"Standing broad jump."
What is speed test?,"Thirty meter sprint."
What is endurance test?,"Cooper twelve minute run."
What is skill related fitness?,"Fitness linked to sport."
What is health related fitness?,"Fitness linked to health."
What is body composition?,"Fat to muscle ratio."
What is somatotype?,"Body shape classification."
What is ectomorph?,"Thin body type."
What is mesomorph?,"Muscular body type."
What is endomorph?,"Round body type."
What is oxygen debt?,"Extra oxygen after exercise."
What is recovery?,"Returning to resting state."
What is cool down purpose?,"Prevent blood pooling."
What is warm up purpose?,"Reduce injury risk."
What is reaction time test?,"Ruler drop."
What is platelets role?,"Clot blood."
What is red blood cells role?,"Carry oxygen."
What is white blood cells role?,"Fight infection."
What is alveoli?,"Air sacs in lungs."
What is inspiration?,"Breathing in."
What is expiration?,"Breathing out."
What is diffusion?,"Movement from high to low concentration."
What is aerobic activity example?,"Long distance running."
What is anaerobic activity example?,"Sprint."
What is circuit training benefit?,"Improves overall fitness."
What is interval training benefit?,"Improves speed endurance."
What is progressive overload?,"Gradually increasing load."
What is plyometric training?,"Explosive jump training."
What is target zone?,"Sixty to eighty five percent of max heart rate."
What is max heart rate formula?,"Two twenty minus age."
What is ethics of doping?,"Unfair advantage."
What is sports psychology?,"Mental aspects of sport."
What is imagery?,"Mental rehearsal."
What is concentration?,"Focus on task."
What is relaxation technique?,"Breathing exercises."
