"Front","Back"
"What is integration?","The process of finding the area under a curve or the reverse of differentiation"
"What is an indefinite integral?","An integral without limits representing a family of functions"
"What is a definite integral?","An integral with limits giving a numerical value"
"What is the symbol for integration?","Integral sign"
"What is the power rule for integration","Increase power by one and divide by new power"
"What is integral of x to the n","x to the n plus 1 over n plus 1"
"What is integral of 1 over x","ln absolute value of x"
"What is integral of e to the x","e to the x"
"What is integral of sin x","minus cos x"
"What is integral of cos x","sin x"
"What is the constant of integration?","Plus c added to indefinite integrals"
"What is area under curve?","Definite integral of function"
"What is integration by substitution?","Change of variable to simplify integral"
"What is substitution method step","Replace expression with new variable"
"What is reverse chain rule?","Recognising derivative inside function"
"What is integration limits?","Upper and lower bounds"
"What is fundamental theorem of calculus?","Links differentiation and integration"
"What is evaluating definite integral","Substitute limits into antiderivative"
"What is area between curve and x axis","Integral of function"
"What if function is below x axis","Area counted as negative"
"What is total area?","Take absolute values if needed"
"What is area between two curves","Integral of top minus bottom"
"What is integration of constant","Constant times x"
"What is integration of k f x","k times integral of f x"
"What is linearity of integration","Sum of integrals equals integral of sum"
"What is substitution example","Let u equal function inside"
"What is du dx","Derivative of u"
"What is change of limits in substitution","Convert limits to new variable"
"What is definite integral result","Single number"
"What is indefinite integral result","Function plus constant"
"What is area interpretation","Net signed area"
"What is positive area","Above x axis"
"What is negative area","Below x axis"
"What is integration of tan x","ln absolute sec x"
"What is integration of sec squared x","tan x"
"What is integration of sec x tan x","sec x"
"What is integration of 1 over x squared","minus 1 over x"
"What is integration of root x","2 over 3 x to power 3 over 2"
"What is integration of x to minus 1","ln absolute x"
"What is integration of x to minus n","x to minus n plus 1 over minus n plus 1"
"What is definite integral notation","Integral from a to b"
"What is evaluating using limits","F b minus F a"
"What is displacement from velocity","Integral of velocity"
"What is velocity from acceleration","Integral of acceleration"
"What is area as sum of rectangles","Approximation method"
"What is trapezium rule?","Approximate area using trapezoids"
"What is trapezium rule formula","Half h times first plus last plus twice middle terms"
"What is numerical integration?","Approximation methods"
"What is improper integral?","Integral with infinite limit"
"What is convergence of integral","Approaches finite value"
"What is divergence of integral","Does not converge"
"What is area between curve and line","Subtract functions"
"What is integration of ln x","x ln x minus x"
"What is integration of e to kx","1 over k e to kx"
"What is substitution reverse chain rule","Match derivative pattern"
"What is integral of cos kx","1 over k sin kx"
"What is integral of sin kx","minus 1 over k cos kx"
"What is integration constant meaning","Family of curves"
"What is initial condition?","Value used to find constant"
"What is solving differential equation?","Integrate derivative"
"What is differential equation?","Equation involving derivatives"
"What is separation of variables?","Rearranging to integrate"
"What is growth model differential","dy dx equals ky"
"What is solution of growth model","y equals a e to kx"
"What is decay model differential","dy dx equals minus ky"
"What is area under velocity time graph","Displacement"
"What is area under acceleration time graph","Change in velocity"
"What is definite integral area use","Exact value"
"What is integral of zero","Constant"
"What is substitution for quadratic","Complete square or substitute"
"What is integral bounds effect","Determines area limits"
"What is signed area?","Area with positive or negative sign"
"What is absolute area?","Total area ignoring sign"
"What is integration of polynomial","Apply power rule term by term"
"What is reverse differentiation","Integration"
"What is use of integration in physics","Area displacement work"
"What is integral as accumulation","Sum of small parts"
"What is Riemann sum?","Sum approximation of area"

