Front,Back
What is business strategy?,A long-term plan to achieve business objectives.
Why is business strategy important?,It provides direction and supports decision-making.
What is a strategic decision?,A long-term decision affecting the whole business.
What is a tactical decision?,A short-term decision focused on daily operations.
What is a corporate objective?,A major goal a business aims to achieve.
Why do businesses set objectives?,To measure success and guide actions.
What is profit maximisation?,Trying to achieve the highest possible profit.
What is growth as a business objective?,Increasing the size or market share of a business.
What is survival as a business objective?,Continuing to operate during difficult periods.
What is market share?,The percentage of sales controlled by a business.
What is revenue maximisation?,Trying to increase total sales income.
What is social responsibility?,Considering the impact of decisions on society and the environment.
What is stakeholder?,A person or group affected by a business.
Who are internal stakeholders?,Employees managers and owners.
Who are external stakeholders?,Customers suppliers governments and communities.
What is stakeholder conflict?,When stakeholder interests clash.
Give one example of stakeholder conflict.,Employees wanting higher wages while owners want higher profits.
What is mission statement?,A statement describing a business’s purpose and values.
Why is a mission statement important?,It guides strategy and decision-making.
What is vision statement?,A statement describing long-term ambitions.
What is SWOT analysis?,A framework analysing strengths weaknesses opportunities and threats.
What are strengths in SWOT analysis?,Internal advantages of a business.
What are weaknesses in SWOT analysis?,Internal limitations or problems.
What are opportunities in SWOT analysis?,External factors helping business success.
What are threats in SWOT analysis?,External factors creating risk or difficulty.
Why is SWOT analysis useful?,It helps businesses identify strategic options.
What is Ansoff Matrix?,A model showing growth strategies.
What are the four Ansoff strategies?,Market penetration product development market development and diversification.
What is market penetration?,Increasing sales of existing products in existing markets.
What is product development?,Creating new products for existing markets.
What is market development?,Selling existing products in new markets.
What is diversification?,Selling new products in new markets.
Which Ansoff strategy is riskiest?,Diversification.
Why is diversification risky?,Both products and markets are unfamiliar.
What is decision tree?,A diagram showing possible decisions outcomes and probabilities.
Why are decision trees useful?,They help businesses evaluate risk and reward.
What is expected value?,The average outcome calculated from probabilities.
Why is expected value important?,It helps compare different decisions.
What is risk?,The possibility of loss or failure.
Why must businesses manage risk?,Poor decisions can reduce profits or cause failure.
What is uncertainty?,Situations where outcomes are unknown.
What is contingency planning?,Preparing for unexpected events.
Why is contingency planning important?,It improves business resilience.
What is strategic positioning?,How a business wants to compete in the market.
What is competitive advantage?,A factor making a business better than rivals.
What can create competitive advantage?,Lower costs innovation quality or branding.
What is cost leadership?,Competing through lower prices and costs.
What is differentiation strategy?,Competing through unique products or services.
What is focus strategy?,Targeting a specific market segment.
Who developed generic strategies?,Michael Porter.
What are Porter’s generic strategies?,Cost leadership differentiation and focus.
Why is differentiation important?,It helps products stand out from competitors.
What is benchmarking?,Comparing performance against competitors or standards.
Why is benchmarking useful?,It identifies areas for improvement.
What is core competency?,A key strength providing competitive advantage.
Why are core competencies important?,They help businesses compete effectively.
What is strategic drift?,When business strategy no longer matches the environment.
Why is strategic drift dangerous?,Businesses may lose competitiveness.
What is business environment?,The internal and external conditions affecting a business.
What is PESTLE analysis?,A framework analysing external influences.
What does PESTLE stand for?,Political economic social technological legal and environmental factors.
Why is PESTLE analysis useful?,It helps businesses identify opportunities and threats.
What is market positioning?,Creating a specific image in customers’ minds.
Why is market positioning important?,It influences customer perceptions and sales.
What is strategic implementation?,Putting strategy into action.
Why is implementation important?,Even good strategies fail without effective execution.
What is change management?,Managing business changes effectively.
Why is change management important?,Poorly managed change may reduce performance.
What is resistance to change?,Employees opposing business changes.
Why do employees resist change?,Fear uncertainty or job insecurity.
How can businesses reduce resistance to change?,Communication training and employee involvement.
What is innovation?,Introducing new ideas products or methods.
Why is innovation important?,It helps businesses remain competitive.
What is disruptive innovation?,Innovation significantly changing markets or industries.
What is business growth?,An increase in the size or scale of a business.
What is organic growth?,Expansion using a business’s own resources.
What is external growth?,Growth through mergers or takeovers.
What is merger?,Two businesses joining together.
What is takeover?,One business buying another.
Why do businesses merge?,To increase market share or reduce competition.
What is synergy?,Benefits gained when businesses combine.
Why is synergy important in mergers?,Combined businesses may become more efficient.
What is economies of scale?,Cost advantages from increased production.
What is diseconomies of scale?,Higher average costs caused by overexpansion.
Why can diseconomies occur?,Communication and coordination problems increase.
What is strategic alliance?,Businesses cooperating while remaining independent.
Why do businesses form alliances?,To share resources costs or expertise.
What is outsourcing?,Using external businesses for certain activities.
Why do businesses outsource?,To reduce costs or access specialist skills.
What is offshoring?,Moving operations to another country.
Why do businesses offshore?,To reduce labour and production costs.
What is business culture?,The values attitudes and behaviours within a business.
Why is business culture important?,It affects motivation and performance.
What is corporate social responsibility CSR?,Businesses acting responsibly towards society and the environment.
Why is CSR important?,It improves reputation and customer trust.
What is ethical strategy?,A strategy considering moral and social responsibilities.
Why are ethical strategies important?,Consumers increasingly value responsible businesses.
What is sustainability?,Meeting current needs without harming future generations.
Why is sustainability important in strategy?,Businesses face pressure to reduce environmental impact.
What is globalisation?,The increasing connection of world markets.
How does globalisation affect strategy?,Businesses face more competition and opportunities.
What is multinational company MNC?,A business operating in several countries.
What is market saturation?,A market with little room for growth.
Why is market saturation challenging?,Competition is intense and sales growth is limited.
What is niche market?,A small specialised section of the market.
Why might businesses target niche markets?,Less competition and loyal customers.
What is mass market?,A broad market with many customers.
What is strategic flexibility?,The ability to adapt quickly to change.
Why is flexibility important?,Markets and customer needs change rapidly.
What is business resilience?,The ability to recover from difficulties.
Why is resilience important?,Businesses face risks and uncertainty.
What is data-driven strategy?,Using information and analysis to guide decisions.
Why is data important in strategy?,It improves decision-making accuracy.
What is scenario planning?,Preparing strategies for different future situations.
Why do businesses use scenario planning?,To reduce uncertainty and risk.
What is long-term planning?,Preparing for future objectives over several years.
What is short-term planning?,Planning immediate business activities.
Why is long-term planning important?,It supports sustainable growth and stability.
What is strategic review?,Evaluating whether strategy is effective.
Why are strategic reviews useful?,They identify strengths weaknesses and needed changes.
What is business adaptation?,Changing operations to respond to external factors.
Why must businesses adapt?,Markets competition and technology change constantly.
What is leadership in strategy?,Guiding a business towards objectives and change.
Why is leadership important in strategy?,Strong leadership improves implementation and motivation.
