"Front","Back"
"What is a capacitor?","A device that stores electrical charge"
"What is capacitance?","Charge stored per unit potential difference"
"What is the formula for capacitance","Capacitance equals charge divided by voltage"
"What is the unit of capacitance","Farad F"
"What affects capacitance","Plate area distance between plates and dielectric"
"What happens if plate area increases","Capacitance increases"
"What happens if plate separation increases","Capacitance decreases"
"What is a dielectric?","An insulating material between capacitor plates"
"What does a dielectric do","Increases capacitance by reducing electric field strength"
"What is energy stored in a capacitor","Half times capacitance times voltage squared"
"What is charging of a capacitor","Process of storing charge"
"What happens to voltage during charging","Increases exponentially"
"What happens to current during charging","Decreases exponentially"
"What is discharging of a capacitor","Release of stored charge"
"What happens to voltage during discharging","Decreases exponentially"
"What happens to current during discharging","Decreases exponentially"
"What is time constant?","Time taken for charge or voltage to change significantly"
"What is the formula for time constant","Resistance times capacitance"
"What happens after one time constant","Charge reaches about 63 percent of maximum"
"What happens during discharge after one time constant","Charge falls to about 37 percent"
"What is exponential change","Change proportional to current value"
"What is a charging graph shape","Curve rising and leveling off"
"What is a discharging graph shape","Curve falling and leveling off"
"What is a resistor capacitor circuit","Circuit containing resistor and capacitor"
"What affects time constant","Resistance and capacitance"
"What happens if resistance increases","Charging and discharging slower"
"What happens if capacitance increases","Charging and discharging slower"
"What is smoothing capacitor use","Reducing ripple in power supplies"
"What is rectification?","Converting AC to DC"
"What is half wave rectification","Only one half of AC used"
"What is full wave rectification","Both halves of AC used"
"What is ripple?","Variation in DC output voltage"
"What is logic gate?","Electronic device performing logical operations"
"What is a NOT gate","Outputs opposite signal"
"What is an AND gate","Outputs true only if both inputs are true"
"What is an OR gate","Outputs true if at least one input is true"
"What is a NAND gate","Opposite of AND gate"
"What is a NOR gate","Opposite of OR gate"
"What is truth table","Table showing logic gate outputs"
"What is digital signal","Signal with discrete values"
"What is analogue signal","Continuous signal"
"What is a bit?","Binary digit 0 or 1"
"What is binary system","Number system using base 2"
"What is a potential divider?","Circuit producing variable output voltage"
"What is formula for potential divider","Output voltage equals input times ratio of resistances"
"What is variable resistor use","Adjusting current or voltage"
"What is LDR in circuits","Light dependent resistor"
"What is thermistor in circuits","Temperature dependent resistor"
"What is sensor circuit","Circuit responding to environmental changes"
"What is comparator?","Circuit comparing voltages"
"What is switching circuit","Circuit turning device on or off"
"What is transistor?","Electronic switch or amplifier"
"What is amplification","Increase in signal strength"
"What is gain?","Ratio of output to input signal"
"What is input signal","Signal entering circuit"
"What is output signal","Signal leaving circuit"
"What is diode function","Allows current in one direction"
"What is LED?","Light emitting diode"
"What is forward bias","Diode allows current"
"What is reverse bias","Diode blocks current"
"What is threshold voltage","Minimum voltage for conduction"
"What is digital electronics advantage","Less noise interference"
"What is analogue electronics advantage","More precise continuous signal"
"What is noise?","Unwanted disturbance in signal"
"What is filtering?","Removing unwanted signal components"
"What is capacitor in timing circuit","Controls time delay"
"What is RC time constant use","Timing circuits"
"What is oscillation?","Repeated variation in signal"
"What is waveform","Shape of signal"
"What is square wave","Digital signal with sharp transitions"
"What is sine wave","Smooth oscillating wave"
"What is frequency in electronics","Cycles per second"
"What is amplitude in electronics","Maximum signal value"
"What is power supply smoothing","Reducing voltage fluctuations"
"What is bridge rectifier","Uses four diodes for full wave rectification"
"What is peak voltage","Maximum AC voltage"
"What is RMS voltage","Effective voltage of AC"
"What is signal processing","Manipulating signals"
"What is digital to analogue conversion","Converting binary to continuous signal"
"What is analogue to digital conversion","Converting continuous to binary"
"What is sampling?","Measuring signal at intervals"
"What is sampling rate","Number of samples per second"
"What is quantisation","Rounding signal values"
"What is resolution in ADC","Number of bits used"
"What is error in digital signal","Difference from true value"
"What is logic circuit","Combination of logic gates"
"What is Boolean expression","Mathematical representation of logic"
"What is De Morgan law","Rules for simplifying logic expressions"
"What is microprocessor","Device processing digital signals"
"What is control system","System managing processes"
"What is feedback?","Output influencing input"
"What is open loop system","No feedback"
"What is closed loop system","Uses feedback"
"What is stability in circuits","Ability to maintain output"
"What is switching time","Time to change state"
"What is power loss in electronics","Energy lost as heat"
"What is efficiency in electronics","Useful output divided by input"

