Front,Back
What was the role of the Privy Council under Elizabeth I?,To advise the monarch and oversee administration of government
Who were Elizabeth I's most important ministers?,William Cecil Lord Burghley and Francis Walsingham
Why was William Cecil important?,He was Elizabeth's chief advisor and managed government policy
Why was Francis Walsingham important?,He organised an extensive intelligence and spy network
What was the purpose of Elizabeth's spy network?,To uncover Catholic plots against the queen
What was the Privy Chamber?,A group of trusted attendants close to the monarch
What was the role of Parliament in Elizabethan England?,To pass laws and grant taxation
Why did Elizabeth try to limit Parliamentary debate?,To maintain royal authority and avoid challenges
What issue caused tension between Elizabeth and Parliament?,The succession question
Why was the succession question sensitive?,Elizabeth refused to name an heir
What were Puritans?,Protestants who wanted further reform of the Church of England
Why did Elizabeth oppose Puritan reforms?,She wanted religious stability and uniformity
What were recusants?,Catholics who refused to attend Anglican services
What fines were imposed on recusants?,Financial penalties for missing church services
What was the Northern Rebellion 1569?,A Catholic uprising aiming to replace Elizabeth with Mary Queen of Scots
Why did the Northern Rebellion fail?,Lack of widespread support and government suppression
Who led the Northern Rebellion?,The Earls of Northumberland and Westmorland
What was the Ridolfi Plot?,A Catholic conspiracy to replace Elizabeth with Mary Queen of Scots
When did the Ridolfi Plot occur?,1571
What was the Throckmorton Plot?,A Catholic plot involving Spanish invasion plans
When did the Throckmorton Plot occur?,1583
What was the Babington Plot?,A Catholic conspiracy to assassinate Elizabeth
Why was the Babington Plot significant?,It led to the execution of Mary Queen of Scots
What role did Walsingham play in the Babington Plot?,He uncovered the conspiracy through intercepted letters
Why was Mary Queen of Scots considered a threat?,She had a strong Catholic claim to the English throne
When was Mary Queen of Scots executed?,1587
Why did Elizabeth hesitate to execute Mary?,She feared international backlash and precedent
Why did Philip II of Spain plan to invade England?,Religious conflict and English support for Dutch rebels
What was the Spanish Armada?,A large Spanish fleet sent to invade England in 1588
What was Spain's strategy for the Armada?,To escort an invasion army from the Netherlands to England
Why did the Armada struggle in the English Channel?,English ships were faster and used long range guns
What role did fire ships play?,They disrupted the Spanish formation
What natural factors contributed to the Armada's defeat?,Storms and difficult navigation
Why was the Armada defeat significant?,It strengthened English national confidence
What was the role of the Royal Navy?,To defend England and challenge Spanish power
What economic problem affected Elizabethan England?,Inflation
Why did inflation increase?,Population growth and rising food demand
How did population growth affect society?,It increased poverty and pressure on resources
What was enclosure?,Landowners fencing common land for private farming
Why did enclosure cause unrest?,It displaced rural workers
What were the Poor Laws?,Laws designed to help the poor and control vagrancy
When were the Elizabethan Poor Laws introduced?,1598 and 1601
What was the aim of the Poor Laws?,To organise local responsibility for poverty relief
Who administered the Poor Laws?,Local parish officials
What were vagrants?,People wandering without work
Why were vagrants feared?,They were associated with crime and disorder
What was the role of Justices of the Peace?,To maintain law and order locally
How did Elizabeth strengthen local government?,By relying on local gentry as officials
What was patronage in Elizabethan politics?,Granting positions or rewards to supporters
Why was patronage important?,It secured loyalty to the crown
What was faction in Elizabeth's court?,Rival groups competing for influence
Why did Elizabeth manage factions carefully?,To prevent ministers gaining too much power
What was the significance of the Treaty of Nonsuch?,England supported Dutch rebels against Spain
When was the Treaty of Nonsuch signed?,1585
Why did England support the Dutch?,To weaken Spanish power
What was the significance of English privateers?,They attacked Spanish treasure fleets
Who was Francis Drake?,An English privateer and naval commander
Why was Drake famous?,He circumnavigated the globe and fought Spain
What was the significance of the defeat of the Armada?,It marked a turning point in the Anglo Spanish conflict
What was the Earl of Essex rebellion?,A failed uprising against Elizabeth in 1601
Why did Essex rebel?,He lost political influence and sought power
Why did the Essex rebellion fail?,Lack of support and swift suppression
What was the significance of Elizabeth's reign?,It brought relative stability after religious turmoil
Why is Elizabeth considered a successful monarch?,She maintained political stability and avoided major domestic crises
What challenges faced Elizabeth late in her reign?,Economic hardship factional conflict and succession uncertainty
Why was succession still unresolved in 1603?,Elizabeth never married or named an heir
Who succeeded Elizabeth I?,James VI of Scotland
Why was James chosen as successor?,He was the closest Protestant claimant
What was the significance of the Tudor dynasty?,It strengthened monarchy and reshaped religion in England
What was the overall impact of Tudor government?,Centralised authority and expanded royal administration
