"Front","Back"
"What is the skeletal system?","The framework of bones supporting the body"
"What are the functions of the skeleton?","Support, protection, movement, blood cell production"
"What is a long bone?","A bone longer than it is wide, e.g. femur"
"What is a short bone?","A small cube-shaped bone, e.g. carpals"
"What is a flat bone?","A thin bone, e.g. ribs"
"What is an irregular bone?","A bone with complex shape, e.g. vertebrae"
"What is the axial skeleton?","Central bones including skull and spine"
"What is the appendicular skeleton?","Limbs and girdles"
"What is a joint?","Where two bones meet"
"What is a hinge joint?","Allows flexion and extension, e.g. elbow"
"What is a ball and socket joint?","Allows movement in all directions, e.g. hip"
"What is a pivot joint?","Allows rotation, e.g. neck"
"What is flexion?","Decreasing the angle at a joint"
"What is extension?","Increasing the angle at a joint"
"What is abduction?","Movement away from the midline"
"What is adduction?","Movement towards the midline"
"What is rotation?","Circular movement around an axis"
"What is circumduction?","Combination of movements forming a circle"
"What is the muscular system?","System of muscles enabling movement"
"What are antagonistic muscles?","Muscles working in pairs"
"What is an agonist?","Muscle causing movement"
"What is an antagonist?","Muscle opposing movement"
"What is a fixator?","Stabilises a joint"
"What is a synergist?","Assists the agonist"
"What is a muscle fibre?","A single muscle cell"
"What is contraction?","Muscle shortening"
"What is relaxation?","Muscle lengthening"
"What is isotonic contraction?","Muscle changes length"
"What is isometric contraction?","Muscle stays the same length"
"What is concentric contraction?","Muscle shortens"
"What is eccentric contraction?","Muscle lengthens under tension"
"What is cardiac muscle?","Muscle of the heart"
"What is skeletal muscle?","Voluntary muscle attached to bones"
"What is smooth muscle?","Involuntary muscle in organs"
"What is the cardiovascular system?","Heart and blood vessels"
"What is heart rate?","Number of beats per minute"
"What is stroke volume?","Amount of blood pumped per beat"
"What is cardiac output?","Heart rate multiplied by stroke volume"
"What is the respiratory system?","System responsible for breathing"
"What is tidal volume?","Amount of air per breath"
"What is vital capacity?","Maximum air exhaled after inhalation"
"What is oxygen uptake?","Amount of oxygen used by the body"
"What is haemoglobin?","Protein in red blood cells that carries oxygen"
"What is diffusion?","Movement from high to low concentration"
"What is aerobic respiration?","Energy production using oxygen"
"What is anaerobic respiration?","Energy production without oxygen"
"What is ATP?","Energy currency of the body"
"What is the ATP-PC system?","Immediate energy system lasting up to 10 seconds"
"What is the glycolytic system?","Short-term energy system producing lactic acid"
"What is the aerobic system?","Long-term energy system using oxygen"
"What is lactic acid?","By-product of anaerobic exercise"
"What is oxygen debt?","Extra oxygen needed after exercise"
"What is EPOC?","Excess post-exercise oxygen consumption"
"What is VO2 max?","Maximum oxygen uptake capacity"
"What is recovery?","Return to resting state"
"What is muscle fatigue?","Reduced ability of muscle to contract"
"What are fast twitch fibres?","Fibres suited for explosive movements"
"What are slow twitch fibres?","Fibres suited for endurance activities"
"What is a motor unit?","A nerve and the muscle fibres it controls"
"What is a neuromuscular junction?","Connection between nerve and muscle"
"What is the sliding filament theory?","Explains how muscles contract"
"What is actin?","Thin protein filament"
"What is myosin?","Thick protein filament"
"What is a sarcomere?","Functional unit of muscle contraction"
"What is a tendon?","Connects muscle to bone"
"What is a ligament?","Connects bone to bone"
"What is cartilage?","Reduces friction at joints"
"What is synovial fluid?","Lubricates joints"
"What is the sagittal plane?","Divides the body into left and right"
"What is the frontal plane?","Divides the body into front and back"
"What is the transverse plane?","Divides the body into top and bottom"
"What is an axis?","A line around which movement occurs"
"What is the transverse axis?","Runs left to right"
"What is the longitudinal axis?","Runs top to bottom"
"What is the frontal axis?","Runs front to back"
"What is fitness?","Ability to meet demands of the environment"
