"Front","Back"
"What is ethics in computing?","Moral principles guiding use of technology"
"What is legal issue?","Relates to laws and regulations"
"What is moral issue?","Relates to right and wrong"
"What is cultural issue?","Relates to societal values"
"What is environmental issue?","Impact on environment"
"What is privacy?","Right to keep data secure"
"What is data protection?","Safeguarding personal data"
"What is GDPR?","General Data Protection Regulation"
"What is personal data?","Information about individuals"
"What is sensitive data?","Highly private information"
"What is consent?","Permission to use data"
"What is data controller?","Entity controlling data"
"What is data processor?","Processes data"
"What is data subject?","Individual data refers to"
"What is right to access?","See your data"
"What is right to erasure?","Delete your data"
"What is right to rectification?","Correct data"
"What is data minimisation?","Collect only necessary data"
"What is data security?","Protecting data"
"What is data breach?","Unauthorised access"
"What is encryption?","Encoding data"
"What is anonymisation?","Removing identity"
"What is pseudonymisation?","Replacing identifiers"
"What is Computer Misuse Act?","UK law on cybercrime"
"What is unauthorised access?","Hacking"
"What is unauthorised modification?","Altering data illegally"
"What is malware distribution?","Spreading harmful software"
"What is copyright?","Legal ownership of work"
"What is intellectual property?","Ownership of ideas"
"What is licensing?","Permission to use software"
"What is open-source software?","Free to modify"
"What is proprietary software?","Owned and restricted"
"What is patent?","Protects inventions"
"What is trademark?","Protects brand"
"What is plagiarism?","Copying work"
"What is fair use?","Limited legal use"
"What is digital divide?","Gap in tech access"
"What is accessibility?","Making tech usable for all"
"What is equality?","Equal access"
"What is inclusion?","Supporting diverse users"
"What is bias in AI?","Unfair outcomes"
"What is algorithm bias?","Biased decisions"
"What is automation?","Machines replacing tasks"
"What is job displacement?","Jobs lost to tech"
"What is remote working?","Work from home"
"What is social impact?","Effect on society"
"What is online safety?","Protecting users"
"What is environmental impact of computing?","Energy use and waste"
"What is e-waste?","Discarded electronics"
"What is carbon footprint?","Environmental impact"
"What is sustainability?","Long-term resource use"
"What is green computing?","Reducing environmental impact"
"What is recycling?","Reusing materials"
"What is energy efficiency?","Using less power"
"What is data centre impact?","High energy usage"
"What is cloud computing impact?","Centralised energy use"
"What is AI ethics?","Responsible AI use"
"What is surveillance?","Monitoring individuals"
"What is facial recognition?","Identifying faces"
"What is privacy concern?","Loss of anonymity"
"What is censorship?","Restricting content"
"What is freedom of speech?","Right to express"
"What is cyberbullying?","Online harassment"
"What is digital footprint?","Online data trail"
"What is identity theft?","Stealing identity"
"What is phishing?","Fake messages for data"
"What is social engineering?","Manipulating people"
"What is cybercrime?","Crime using computers"
"What is hacking?","Unauthorised access"
"What is ethical hacking?","Testing security"
"What is penetration testing?","Simulated attack"
"What is vulnerability?","System weakness"
"What is patching?","Fixing security issues"
"What is zero-day exploit?","Unknown vulnerability"
"What is authentication?","Verifying identity"
"What is password security?","Strong passwords"
"What is multi-factor authentication?","Extra security step"
"What is biometric security?","Using fingerprints"
"What is firewall?","Blocks threats"
"What is antivirus?","Detects malware"
"What is software updates?","Fix vulnerabilities"
"What is data backup?","Copying data"
"What is disaster recovery?","Restoring systems"
"What is risk assessment?","Evaluating risks"
"What is risk mitigation?","Reducing risk"
"What is security policy?","Rules for protection"
"What is acceptable use policy?","Rules for users"
"What is ethical responsibility?","Duty to act responsibly"
"What is professional code of conduct?","Guidelines for behaviour"
"What is accountability?","Responsibility for actions"
"What is transparency?","Open communication"
"What is fairness?","Equal treatment"
"What is trust?","Confidence in systems"
"What is reliability?","Consistent performance"
"What is safety?","Avoiding harm"
"What is data ethics?","Responsible data use"
"What is AI decision-making?","Automated decisions"
"What is explainability?","Understanding AI decisions"
"What is black box AI?","Unclear decision process"
"What is algorithm transparency?","Open logic"
"What is bias mitigation?","Reducing bias"
"What is digital rights?","User rights online"
"What is net neutrality?","Equal internet access"
"What is cyber law?","Laws on technology"
"What is jurisdiction?","Legal authority"
"What is cross-border data?","Data across countries"
"What is cloud law?","Regulation of cloud"
"What is compliance?","Following laws"
"What is audit?","Checking compliance"
"What is monitoring?","Tracking activity"
"What is logging?","Recording events"
"What is ethical dilemma?","Difficult decision"
"What is stakeholder?","Interested party"
"What is stakeholder impact?","Effect on people"
"What is social responsibility?","Impact on society"
"What is digital wellbeing?","Healthy tech use"
"What is screen time impact?","Health effects"
"What is ethical computing goal?","Responsible use of technology"
"What is legal compliance goal?","Follow laws"
"What is privacy importance?","Protect individuals"
"What is security importance?","Protect systems"
"What is environmental importance?","Protect planet"
"What is social impact importance?","Protect society"
"What is ethical exam focus?","Laws and impacts"
"What is GDPR exam focus?","Data protection rules"
"What is CMA exam focus?","Cybercrime laws"
"What is copyright exam focus?","Ownership rules"
"What is evaluation skill?","Weigh pros/cons"
"What is ethical argument?","For and against"
"What is impact analysis?","Assess consequences"
"What is risk vs benefit?","Trade-off"
"What is long-term impact?","Future effects"
"What is short-term impact?","Immediate effects"
"What is ethical decision-making?","Choosing best action"
"What is computing responsibility?","Using tech safely"
"What is final goal?","Ethical and legal use of computing"
