"Front","Back"
"What is a wave?","A transfer of energy without transfer of matter"
"What is a transverse wave?","A wave where oscillations are perpendicular to direction of travel"
"What is a longitudinal wave?","A wave where oscillations are parallel to direction of travel"
"Give an example of a transverse wave","Light waves water waves"
"Give an example of a longitudinal wave","Sound waves"
"What is wavelength?","Distance between two identical points on a wave"
"What is the unit of wavelength","Metre m"
"What is frequency?","Number of waves passing a point per second"
"What is the unit of frequency","Hertz Hz"
"What is amplitude?","Maximum displacement from equilibrium"
"What is wave speed?","Speed at which a wave travels"
"What is the wave equation","Wave speed equals frequency times wavelength"
"What happens to wavelength if frequency increases","Wavelength decreases if speed is constant"
"What is period?","Time for one complete wave"
"What is the formula for period","Period equals one divided by frequency"
"What is phase?","Position in the cycle of a wave"
"What is phase difference?","Difference in position between two points in a wave cycle"
"What is superposition?","When waves overlap their displacements add"
"What is constructive interference?","Waves combine to give larger amplitude"
"What is destructive interference?","Waves combine to reduce amplitude"
"What is coherence?","Waves with constant phase difference and same frequency"
"What is diffraction?","Spreading of waves through a gap"
"When is diffraction most noticeable","When gap size is similar to wavelength"
"What is refraction?","Change in direction of wave due to change in speed"
"What happens to frequency during refraction","Frequency remains constant"
"What happens to wavelength during refraction","Wavelength changes"
"What is total internal reflection?","Reflection when wave cannot pass into another medium"
"What are conditions for total internal reflection","Angle greater than critical angle and travelling from dense to less dense medium"
"What is the critical angle","Angle where refracted ray is 90 degrees to normal"
"What is reflection?","Bouncing of waves off a surface"
"What is the law of reflection","Angle of incidence equals angle of reflection"
"What is the normal","A line perpendicular to a surface"
"What is a standing wave?","A stationary wave formed by superposition"
"What are nodes?","Points of zero displacement"
"What are antinodes?","Points of maximum displacement"
"What is the distance between nodes","Half a wavelength"
"What is the distance between antinodes","Half a wavelength"
"What is resonance?","Large amplitude oscillations at natural frequency"
"What is fundamental frequency?","Lowest frequency of a standing wave"
"What are harmonics?","Multiples of fundamental frequency"
"What is intensity?","Power per unit area"
"What is the unit of intensity","Watts per metre squared"
"What happens to intensity with distance","It decreases"
"What is inverse square law","Intensity proportional to one over distance squared"
"What is a wavefront?","Line joining points in phase"
"What is a ray?","Direction of wave travel"
"What is polarization?","Restriction of waves to one plane"
"Which waves can be polarized","Transverse waves only"
"What is an electromagnetic wave?","A transverse wave of oscillating electric and magnetic fields"
"What is the speed of light","Approximately 3 times 10 to the power of 8 metres per second"
"What is the electromagnetic spectrum","Range of electromagnetic waves of different frequencies"
"Order the electromagnetic spectrum","Radio microwaves infrared visible ultraviolet x rays gamma"
"What happens to energy as frequency increases","Energy increases"
"What is the equation for wave speed","Speed equals frequency times wavelength"
"What is a progressive wave?","A wave that transfers energy through a medium"
"What is damping?","Reduction in amplitude over time"
"What causes damping","Energy loss to surroundings"
"What is phase difference of one wavelength","360 degrees or 2 pi radians"
"What is phase difference of half wavelength","180 degrees or pi radians"
"What is path difference","Difference in distance travelled by waves"
"What is condition for constructive interference","Path difference is whole number of wavelengths"
"What is condition for destructive interference","Path difference is half wavelength multiples"
"What is Young double slit experiment","Demonstrates interference of light"
"What is fringe spacing","Distance between bright or dark fringes"
"What affects diffraction pattern","Wavelength and gap size"
"What happens when wavelength increases","Diffraction increases"
"What happens when gap size increases","Diffraction decreases"
"What is refractive index","Ratio of speed in vacuum to speed in medium"
"What is the formula for refractive index","Speed of light divided by speed in medium"
"What happens when refractive index increases","Speed decreases"
"What is optical density","Measure of how much a medium slows light"
"What is a monochromatic wave","Wave of single frequency"
"What is a plane wave","Wave with flat wavefronts"
"What is a circular wave","Wave spreading from a point source"
"What is interference pattern","Pattern of alternating maxima and minima"
"What is diffraction grating","Device with many slits producing interference"
"What is the grating equation","Wavelength equals slit spacing times sine of angle"
"What is sound wave","Longitudinal wave of pressure variations"
"What affects speed of sound","Medium density and temperature"
"What is echo","Reflection of sound waves"
"What is ultrasound","Sound with frequency above human hearing"
"What is the range of human hearing","Approximately 20 Hz to 20 kHz"
"What is wave energy transfer","Energy carried by oscillations"
"What is phase relationship","Relative position of waves in cycle"
"What is coherence needed for interference","Stable interference pattern"
"What is laser light","Coherent monochromatic light"
"What is dispersion","Separation of light into colours"
"What causes dispersion","Different wavelengths refract differently"
"What is refraction in water","Light bends when entering water"
"What is critical angle formula","Sine critical angle equals one over refractive index"
"What is wave speed in medium","Depends on properties of medium"

