"Front","Back"
"What is electric current?","The rate of flow of charge"
"What is the formula for current","Current equals charge divided by time"
"What is the unit of current","Ampere A"
"What is charge?","A property of matter that causes electrical forces"
"What is the unit of charge","Coulomb C"
"What is the formula for charge","Charge equals current times time"
"What is potential difference?","Energy transferred per unit charge"
"What is the formula for potential difference","Potential difference equals energy divided by charge"
"What is the unit of potential difference","Volt V"
"What is resistance?","Opposition to current flow"
"What is the formula for resistance","Resistance equals potential difference divided by current"
"What is the unit of resistance","Ohm ohm symbol"
"What is Ohms Law?","Current is proportional to voltage if temperature is constant"
"What is the Ohms Law equation","Voltage equals current times resistance"
"What is resistivity?","A measure of how strongly a material resists current"
"What is the formula for resistivity","Resistivity equals resistance times area divided by length"
"What is the unit of resistivity","Ohm metre"
"What affects resistance","Length cross sectional area and material"
"What happens to resistance when length increases","Resistance increases"
"What happens to resistance when area increases","Resistance decreases"
"What is a conductor?","Material that allows current to flow easily"
"What is an insulator?","Material that resists current flow"
"What is drift velocity?","Average velocity of charge carriers"
"What is current in terms of drift velocity","Current equals charge density times area times velocity"
"What is a series circuit?","Components connected in a single loop"
"What happens to current in series","Same throughout"
"What happens to voltage in series","Shared between components"
"What is total resistance in series","Sum of individual resistances"
"What is a parallel circuit?","Components connected in separate branches"
"What happens to voltage in parallel","Same across each branch"
"What happens to current in parallel","Splits between branches"
"What is total resistance in parallel","One over total equals sum of one over each resistance"
"What is Kirchhoffs First Law","Total current entering equals total leaving a junction"
"What is Kirchhoffs Second Law","Sum of voltages in a loop equals zero"
"What is electrical power?","Rate of energy transfer"
"What is the formula for power","Power equals current times voltage"
"What is another power formula","Power equals current squared times resistance"
"What is another power formula using voltage","Power equals voltage squared divided by resistance"
"What is the unit of power","Watt W"
"What is electrical energy?","Energy transferred by current"
"What is the formula for electrical energy","Energy equals power times time"
"What is the unit of electrical energy","Joule J"
"What is an I V characteristic graph","Graph showing relationship between current and voltage"
"What is an ohmic conductor","A conductor that obeys Ohms Law"
"What does I V graph of resistor look like","Straight line through origin"
"What does I V graph of filament lamp look like","Curved due to heating"
"What does I V graph of diode look like","Allows current in one direction only"
"What is a diode?","A component that allows current in one direction"
"What is a thermistor?","A resistor whose resistance changes with temperature"
"What happens to resistance of thermistor as temperature increases","Resistance decreases"
"What is a light dependent resistor LDR","A resistor whose resistance changes with light"
"What happens to resistance of LDR as light increases","Resistance decreases"
"What is electromotive force EMF","Total energy supplied per unit charge"
"What is internal resistance","Resistance within a power supply"
"What is terminal potential difference","Voltage across external circuit"
"What happens when current increases with internal resistance","Terminal voltage decreases"
"What is the formula with internal resistance","EMF equals current times total resistance"
"What is a potential divider?","Circuit used to produce variable voltage"
"What affects output voltage in potential divider","Ratio of resistances"
"What is a variable resistor?","A resistor whose value can be changed"
"What is a capacitor?","A device that stores charge"
"What is capacitance?","Charge stored per unit voltage"
"What is the formula for capacitance","Capacitance equals charge divided by voltage"
"What is the unit of capacitance","Farad F"
"What is energy stored in capacitor","Half times capacitance times voltage squared"
"What is charging of capacitor","Increase in voltage over time"
"What is discharging of capacitor","Decrease in voltage over time"
"What is time constant?","Time for voltage to fall to 37 percent"
"What is the formula for time constant","Resistance times capacitance"
"What is exponential decay","A decrease at a rate proportional to value"
"What is exponential growth","An increase at a rate proportional to value"
"What is alternating current AC","Current that changes direction"
"What is direct current DC","Current that flows in one direction"
"What is frequency in AC","Number of cycles per second"
"What is peak voltage","Maximum voltage in AC"
"What is root mean square voltage","Effective voltage of AC supply"
"What is mains electricity in UK","Approximately 230 volts at 50 Hz"
"What is electrical safety feature","Fuse circuit breaker earth wire"
"What is a fuse?","Device that melts to break circuit"
"What is an earth wire?","Provides path for fault current"
"What is a circuit breaker?","Switch that cuts off current automatically"
"What is power loss in transmission","Energy lost as heat"
"How can power loss be reduced","Use high voltage low current"
"What is step up transformer","Increases voltage"
"What is step down transformer","Decreases voltage"
"What is efficiency in electrical systems","Useful output divided by input"
"What is energy transferred in resistor","Dissipated as heat"
"What is free electrons","Charge carriers in metals"
"What is charge carrier","Particle that carries charge"
"What affects resistivity","Temperature and material"
"What happens to resistance with temperature in metals","Resistance increases"
"What happens to resistance with temperature in semiconductors","Resistance decreases"
"What is superconductivity","Zero resistance at very low temperatures"

