"Front","Back"
"What is a romantic relationship?","A close emotional connection between two people involving intimacy and commitment."

"What is self-disclosure?","Revealing personal information about oneself."

"What is reciprocity in relationships?","The mutual exchange of self-disclosure."

"What is breadth in self-disclosure?","The range of topics shared."
"What is depth in self-disclosure?","The level of personal detail shared."

"What is social penetration theory?","Relationships develop through increasing self-disclosure."

"What is physical attractiveness?","The degree to which a person is considered good-looking."

"What is the halo effect?","Assuming attractive people have positive qualities."

"What is matching hypothesis?","People choose partners with similar attractiveness."

"What is filter theory?","We filter potential partners based on social factors."

"What are the three filters?","Social demography, similarity, complementarity."

"What is social demography?","Factors such as age, class and education."

"What is similarity?","Shared attitudes and values."

"What is complementarity?","Partners having traits that complement each other."

"What is a limitation of filter theory?","Some relationships do not follow these stages."

"What is reinforcement-affect model?","We like people who reward us."

"What is operant conditioning in relationships?","Associating people with positive experiences."

"What is classical conditioning in relationships?","Associating a person with pleasant feelings."

"What is social exchange theory?","Relationships based on costs and rewards."

"What are rewards in relationships?","Benefits such as love and support."
"What are costs in relationships?","Negative aspects such as effort or conflict."

"What is comparison level?","Expectation of relationship based on past experience."

"What is comparison level for alternatives?","Comparison with possible other relationships."

"What is equity theory?","Relationships are maintained when both partners benefit equally."

"What is inequity?","Imbalance of rewards and costs."

"What is satisfaction in equity theory?","Feeling content in relationship."

"What is maintenance in relationships?","Keeping a relationship stable."

"What is Rusbult’s investment model?","Commitment based on satisfaction, alternatives and investment."

"What is investment?","Resources put into a relationship."

"What is commitment?","Desire to continue relationship."

"What is accommodation?","Responding constructively to conflict."

"What is the four horsemen?","Criticism, contempt, defensiveness, stonewalling."

"What is virtual relationship?","Online-based relationship."

"What is self-disclosure in online relationships?","Sharing personal info digitally."

"What is hyperpersonal model?","Online relationships develop quickly."

"What is absence of gating?","Reduced barriers in online relationships."

"What is parasocial relationship?","One-sided relationship with media figure."

"What is attachment theory?","Early attachment affects adult relationships."

"What is secure attachment?","Comfortable with intimacy."
"What is insecure-avoidant?","Avoids closeness."
"What is insecure-resistant?","Anxious and clingy."

"What is internal working model?","Template for future relationships."

"What is sexual selection?","Choosing partners based on reproductive success."

"What is intersexual selection?","Choosing best partner."
"What is intrasexual selection?","Competing with same sex."

"What is anisogamy?","Differences in male and female reproduction."

"What is evolutionary explanation of attraction?","Preferences based on survival."

"What is a key factor in attraction?","Physical attractiveness."

"What is similarity in attraction?","Shared beliefs increase attraction."

"What is proximity?","Physical closeness increases relationships."

"What is the mere exposure effect?","Repeated exposure increases liking."

"What is self-expansion theory?","Relationships help personal growth."

"What is communication in relationships?","Exchange of information between partners."

"What is conflict in relationships?","Disagreements between partners."

"What is jealousy?","Fear of losing partner."

"What is trust?","Belief partner is reliable."

"What is intimacy?","Emotional closeness."

"What is passion?","Physical attraction."

"What is commitment?","Long-term dedication."

"What is Sternberg’s triangular theory?","Love has intimacy, passion, commitment."

"What is consummate love?","All three components present."

"What is romantic love?","Intimacy + passion."

"What is companionate love?","Intimacy + commitment."

"What is empty love?","Commitment only."

"What is fatuous love?","Passion + commitment."

"What is liking?","Intimacy only."

"What is infatuation?","Passion only."

"What is relationship breakdown?","End of a relationship."

"What is Duck’s phase model?","Stages of relationship breakdown."

"What is intrapsychic phase?","Thinking about problems."

"What is dyadic phase?","Discussing problems."

"What is social phase?","Involving others."

"What is grave-dressing phase?","Justifying breakup."

"What is resurrection phase?","Moving on to new relationship."

"What is stress in relationships?","External pressure affecting relationship."

"What is equity in relationships?","Fairness between partners."

"What is communication style?","Way partners interact."

"What is compatibility?","How well partners match."

"What is attraction?","Feeling drawn to someone."

"What is long-distance relationship?","Partners live far apart."

"What is online dating?","Finding partners via internet."

"What is relationship satisfaction?","Happiness in relationship."

"What is maintenance behaviour?","Actions to sustain relationship."

"What is forgiveness?","Letting go of conflict."

"What is commitment level?","Strength of attachment."

"What is love?","Strong emotional bond."

"What is relationship quality?","Overall health of relationship."
