"Front","Back"
"What is a field?","A region where a force acts on an object"
"What is a gravitational field?","A region where a mass experiences a force"
"What is gravitational field strength?","Force per unit mass"
"What is the formula for gravitational field strength","Gravitational field strength equals force divided by mass"
"What is the unit of gravitational field strength","Newton per kilogram"
"What is Newtons law of gravitation?","Force between masses proportional to product of masses and inversely proportional to distance squared"
"What is the formula for gravitational force","Force equals G times mass one times mass two divided by distance squared"
"What is G?","The gravitational constant"
"What is gravitational potential?","Work done per unit mass to move object to a point"
"What is the formula for gravitational potential","Negative G times mass divided by distance"
"What is gravitational potential energy?","Energy due to position in a gravitational field"
"What is the formula for gravitational potential energy","Mass times gravitational potential"
"What is an equipotential surface?","Surface where potential is constant"
"What is escape velocity?","Minimum speed to escape gravitational field"
"What is orbital motion?","Motion due to gravitational attraction"
"What provides centripetal force for orbit","Gravitational force"
"What is a satellite?","Object orbiting a planet"
"What is geostationary orbit?","Satellite orbit matching Earth rotation"
"What is the condition for geostationary orbit","Period equals 24 hours"
"What is electric field?","Region where a charge experiences a force"
"What is electric field strength?","Force per unit charge"
"What is the formula for electric field strength","Electric field strength equals force divided by charge"
"What is another formula for electric field strength","Voltage divided by distance"
"What is the unit of electric field strength","Newton per coulomb or volt per metre"
"What is Coulombs Law?","Force between charges proportional to product of charges and inversely proportional to distance squared"
"What is the formula for Coulomb force","Force equals k times charge one times charge two divided by distance squared"
"What is electric potential?","Work done per unit charge"
"What is the formula for electric potential","Potential equals energy divided by charge"
"What is potential difference?","Energy transferred per unit charge"
"What are electric field lines?","Lines showing direction of field"
"What direction do electric field lines go","From positive to negative"
"What is a uniform electric field?","Field with parallel equally spaced lines"
"What is a radial field?","Field around a point charge"
"What is electric potential energy?","Energy stored due to position in electric field"
"What is capacitance?","Charge stored per unit voltage"
"What is the formula for capacitance","Capacitance equals charge divided by voltage"
"What is the unit of capacitance","Farad"
"What is a capacitor?","Device that stores charge"
"What is energy stored in a capacitor","Half times capacitance times voltage squared"
"What is dielectric?","Insulating material between capacitor plates"
"What does dielectric do","Increases capacitance"
"What is electric field between plates","Uniform"
"What is force on a charged particle","Charge times electric field strength"
"What is motion of charge in electric field","Accelerates due to force"
"What is work done moving charge","Charge times potential difference"
"What is inverse square law?","Field strength proportional to one over distance squared"
"What is field strength around mass","Decreases with distance"
"What is field strength around charge","Decreases with distance"
"What is equipotential line spacing meaning","Closer lines stronger field"
"What is zero potential at infinity","Reference point for gravitational potential"
"What is negative potential in gravity","Energy required to escape field"
"What is potential gradient","Rate of change of potential with distance"
"What is relationship between field and potential gradient","Field equals negative gradient"
"What is charged particle motion in circular path","Due to electric or magnetic field"
"What is acceleration in electric field","Force divided by mass"
"What is parallel plate capacitor","Two plates storing charge"
"What affects capacitance","Area distance dielectric"
"What happens if plate area increases","Capacitance increases"
"What happens if plate separation increases","Capacitance decreases"
"What is permittivity?","Measure of how material affects electric field"
"What is vacuum permittivity","Constant for free space"
"What is gravitational field lines direction","Towards mass"
"What is electric field lines direction","From positive to negative"
"What is work done moving mass in field","Change in gravitational potential energy"
"What is energy change in electric field","Change in electric potential energy"
"What is escape energy","Energy needed to escape field"
"What is orbit speed formula","Square root of G times mass divided by radius"
"What is Kepler third law?","Orbital period squared proportional to radius cubed"
"What is potential energy graph for gravity","Curve approaching zero"
"What is electric potential graph","Similar inverse relationship"
"What is field strength near surface of Earth","Approximately 9.81 N per kg"
"What is superposition principle","Total field is sum of individual fields"
"What is net field","Resultant of all fields"
"What is electric field between two charges","Combination of both fields"
"What is gravitational field between two masses","Combined field"
"What is energy conservation in fields","Total energy remains constant"
"What is potential difference in uniform field","Field strength times distance"
"What is work done per unit charge definition","Electric potential"
"What is force between like charges","Repulsive"
"What is force between unlike charges","Attractive"
"What is gravitational force nature","Always attractive"
"What is electric force nature","Can attract or repel"
"What is shielding in electric fields","Blocking external fields"
"What is Faraday cage","Enclosure blocking electric fields"
"What is motion of electron in electric field","Accelerates towards positive plate"
"What is drift in electric field","Movement due to force"
"What is relation between energy and potential","Energy equals charge times potential"

