"Front","Back"
"What is religion?","A belief system involving the sacred, rituals and a moral community."
"What is a belief system?","A set of ideas about the world and how it should be."
"What is ideology?","A system of beliefs supporting a group or class."
"What is functionalism’s view of religion?","Religion promotes social cohesion and stability."
"What did Durkheim argue about religion?","Religion reinforces collective conscience."
"What is collective conscience?","Shared beliefs and values of society."
"What is sacred?","Things set apart and special."
"What is profane?","Everyday, ordinary aspects of life."
"What is totemism?","Worship of objects representing a group."
"What is a criticism of functionalism?","Ignores conflict and inequality."
"What is Marxism’s view of religion?","Religion maintains class inequality."
"What did Marx say about religion?","Religion is the opium of the people."
"What is ideological control?","Religion justifies inequality."
"What is a criticism of Marxism?","Ignores positive functions of religion."
"What is feminism’s view of religion?","Religion reinforces patriarchy."
"What is patriarchy in religion?","Male dominance in religious institutions."
"What is a criticism of feminism?","Not all religions are oppressive."
"What is secularisation?","Decline of religion in society."
"What are indicators of secularisation?","Lower church attendance, fewer beliefs."
"What is a criticism of secularisation?","Religion still exists in new forms."
"What is religious revival?","Increase in religious activity."
"What is fundamentalism?","Strict adherence to religious rules."
"What is a church?","Large, inclusive religious organisation."
"What is a sect?","Small, exclusive religious group."
"What is a denomination?","Established religious group."
"What is a cult?","Small group with loose beliefs."
"What is a new religious movement?","Modern alternative belief system."
"What did Troeltsch classify?","Church, sect and denomination."
"What did Niebuhr argue?","Sects become denominations over time."
"What is marginality?","Being excluded from society."
"What is relative deprivation?","Feeling deprived compared to others."
"What did Weber argue about religion?","Religion can cause social change."
"What is the Protestant ethic?","Values encouraging hard work and capitalism."
"What is Calvinism?","Belief in predestination."
"What is predestination?","God has already chosen who will be saved."
"What is a criticism of Weber?","Hard to prove religion caused capitalism."
"What is liberation theology?","Religion supporting social change."
"What is religion and social protest?","Religion can challenge inequality."
"What is civil religion?","Shared national beliefs and rituals."
"What did Bellah argue?","USA has a civil religion."
"What is globalisation?","Increasing global interconnectedness."
"What is religion and globalisation?","Spread of beliefs across countries."
"What is religious pluralism?","Diversity of religious beliefs."
"What is postmodernism and religion?","Religion is diverse and fragmented."
"What is spiritual shopping?","Choosing beliefs that suit individuals."
"What is new age movement?","Spiritual beliefs outside traditional religion."
"What is a criticism of postmodernism?","Ignores structure and inequality."
"What is science?","Knowledge based on evidence and testing."
"What is a conflict view of science and religion?","They oppose each other."
"What is a harmony view?","Science and religion can coexist."
"What is positivism?","Science is the best way to understand society."
"What is interpretivism?","Focus on meanings rather than science."
"What is religion as a conservative force?","Maintains status quo."
"What is religion as a force for change?","Promotes social transformation."
"What is patriarchy in religion?","Men dominate religious leadership."
"What is religious market theory?","Religion competes like a market."
"What is supply-side theory?","More choice increases religion."
"What is demand-side theory?","Demand for religion is declining."
"What is existential security?","Feeling safe reduces need for religion."
"What is a key AO3 point?","Religion has both positive and negative roles."
"What is a strong essay tip?","Compare different perspectives."
"What is AO1?","Knowledge."
"What is AO2?","Application."
"What is AO3?","Evaluation."
"What is a strong evaluation phrase?","However, this view can be challenged because..."
"What is a strong conclusion tip?","Balance arguments and justify judgement."
