Front,Back
What is an identity?,"An equation true for all values."
What does factorising mean?,"Writing expression as product of brackets."
What is completing the square?,"Rewriting quadratic in squared form."
What is the quadratic formula?,"x equals negative b plus minus root b squared minus four a c over two a."
What is the discriminant?,"b squared minus four a c."
What does discriminant greater than zero mean?,"Two real roots."
What does discriminant equal zero mean?,"One repeated root."
What does discriminant less than zero mean?,"No real roots."
What is a surd?,"An irrational root."
What is rationalising denominator?,"Removing surd from bottom."
What is proof?,"Showing statement always true."
What is algebraic proof?,"Using algebra to prove statement."
What is direct proportion?,"One quantity increases as other increases."
What is inverse proportion?,"One increases as other decreases."
What is function notation?,"f of x."
What is composite function?,"Function inside another function."
What is inverse function?,"Function that reverses original."
What is domain?,"Input values."
What is range?,"Output values."
What is transformation?,"Changing graph shape or position."
What does f of x plus a do?,"Shifts graph left."
What does f of x minus a do?,"Shifts graph right."
What does f of x plus a outside do?,"Shifts up."
What does f of x minus a outside do?,"Shifts down."
What does f of negative x do?,"Reflects in y axis."
What does negative f of x do?,"Reflects in x axis."
What is circle equation?,"x squared plus y squared equals r squared."
What is gradient?,"Change in y over change in x."
What is perpendicular gradient rule?,"Multiply to negative one."
What is equation of line?,"y equals m x plus c."
What is midpoint formula?,"Add coordinates and divide by two."
What is distance formula?,"Square root of difference squared plus difference squared."
What is differentiation?,"Finding gradient function."
What is derivative of x squared?,"Two x."
What is derivative of x to power n?,"n x to power n minus one."
What is stationary point?,"Gradient equals zero."
What is increasing function?,"Positive gradient."
What is decreasing function?,"Negative gradient."
What is arithmetic sequence?,"Constant difference."
What is nth term formula?,"a plus n minus one times d."
What is geometric sequence?,"Constant ratio."
What is Pythagoras theorem?,"a squared plus b squared equals c squared."
What is sine rule?,"a over sine A equals b over sine B."
What is cosine rule?,"a squared equals b squared plus c squared minus two b c cos A."
What is area of triangle formula?,"Half a b sine C."
What is exact trig values for sin 30?,"One half."
What is exact trig value for cos 60?,"One half."
What is tan 45?,"One."
What is circle theorem angle at centre?,"Twice angle at circumference."
What is alternate segment theorem?,"Angle equals opposite angle."
What is cyclic quadrilateral rule?,"Opposite angles add to 180."
What is vector?,"Magnitude and direction."
What is column vector form?,"Two numbers vertically."
What is vector addition?,"Add components."
What is scalar multiplication?,"Multiply each component."
What is matrix?,"Rectangular array of numbers."
What is matrix multiplication rule?,"Rows times columns."
What is determinant of 2 by 2 matrix?,"a d minus b c."
What is inverse matrix formula?,"One over determinant times swapped matrix."
What is inequality?,"Statement with less or greater."
What is solving inequality?,"Find values making true."
What happens when multiplying inequality by negative?,"Flip sign."
What is quadratic inequality?,"Inequality with squared term."
What is iteration?,"Repeated substitution method."
What is iteration formula form?,"x equals function of x."
What is rearranging formula?,"Making variable subject."
What is expanding brackets?,"Multiply terms out."
What is binomial expansion?,"Expanding bracket squared."
What is factor theorem?,"If f of a equals zero then x minus a factor."
What is solving simultaneous equations?,"Finding values satisfying both."
What is substitution method?,"Replace variable."
What is elimination method?,"Add equations to remove variable."
What is cubic graph shape?,"S shaped curve."
What is reciprocal graph?,"y equals one over x."
What is exponential graph?,"Rapid increase curve."
What is logarithm?,"Inverse of exponential."
What is solving quadratic by factorising?,"Set brackets equal zero."
What is turning point?,"Maximum or minimum."
What is completing square form?,"x plus a squared plus b."
What is radius in circle equation?,"Square root of constant."
What is perpendicular bisector?,"Line cutting at right angles midpoint."
What is locus?,"Set of points satisfying condition."
What is gradient of horizontal line?,"Zero."
What is gradient of vertical line?,"Undefined."
What is proof by contradiction?,"Assume opposite and find contradiction."
What is expanding triple bracket?,"Multiply step by step."
What is partial fractions?,"Split fraction into simpler fractions."
What is polynomial?,"Expression with powers of x."
What is root of equation?,"Value making equation zero."
What is sketching graph?,"Drawing shape without exact points."
What is asymptote?,"Line graph approaches but never touches."
What is modulus?,"Absolute value."
What is solving modulus equation?,"Consider positive and negative."
What is compound interest formula?,"Amount equals principal times one plus rate power n."
What is exact form?,"Leaving answer as root or fraction."
What is rational number?,"Can be written as fraction."
What is irrational number?,"Cannot be written as fraction."
What is solving trig equation?,"Find angle giving value."
What is degrees to radians formula?,"Multiply by pi over 180."
What is area of sector?,"Theta over 360 times pi r squared."
What is arc length?,"Theta over 360 times two pi r."
