"Front","Back"
"What is a vector?","A quantity with magnitude and direction"
"What is a scalar?","A quantity with magnitude only"
"What is a position vector?","A vector from origin to a point"
"What is vector notation?","Using bold letters or column form"
"What is magnitude of a vector?","Length of the vector"
"What is formula for magnitude","Square root of sum of squares of components"
"What is a unit vector?","Vector with magnitude 1"
"What is a zero vector?","Vector with magnitude zero"
"What is vector addition?","Adding corresponding components"
"What is vector subtraction?","Subtracting corresponding components"
"What is scalar multiplication?","Multiplying vector by a number"
"What happens when multiplying by scalar greater than 1","Vector length increases"
"What happens when multiplying by scalar less than 1","Vector length decreases"
"What happens when multiplying by negative scalar","Direction reverses"
"What is i vector?","Unit vector in x direction"
"What is j vector?","Unit vector in y direction"
"What is k vector?","Unit vector in z direction"
"What is column vector form?","Vector written in vertical format"
"What is vector between two points","Subtract position vectors"
"What is displacement vector?","Vector from one point to another"
"What is midpoint using vectors","Average of position vectors"
"What is collinearity?","Points lie on same line"
"What is condition for collinearity","Vectors are scalar multiples"
"What is parallel vectors?","Vectors in same direction"
"What is anti parallel vectors?","Vectors in opposite directions"
"What is dot product?","Scalar product of two vectors"
"What is dot product formula","a dot b equals magnitude a times magnitude b times cos theta"
"What is dot product in components","a1b1 plus a2b2 plus a3b3"
"What is angle between vectors","Use dot product formula"
"What is perpendicular vectors condition","Dot product equals zero"
"What is projection of vector","Component of one vector on another"
"What is vector equation of a line","Position vector equals point plus parameter times direction"
"What is direction vector?","Vector showing direction of line"
"What is parameter in vector equation","Scalar value"
"What is parametric form of line","x y z in terms of parameter"
"What is Cartesian form of line","x minus x1 over a equals y minus y1 over b"
"What is intersection of lines","Solve simultaneous equations"
"What is skew lines?","Lines that do not intersect"
"What is parallel lines condition","Direction vectors are multiples"
"What is shortest distance between points","Magnitude of difference vector"
"What is triangle using vectors","Use vector addition"
"What is parallelogram law?","Sum of two vectors forms diagonal"
"What is triangle law?","Vectors add head to tail"
"What is vector proof?","Use algebraic manipulation of vectors"
"What is position vector of midpoint","Half of sum of endpoints"
"What is section formula?","Divide line in given ratio"
"What is internal division formula","Weighted average of points"
"What is external division formula","Extension beyond segment"
"What is scalar product meaning","Measure of alignment"
"What is angle formula using dot product","Cos theta equals dot product over magnitudes"
"What is vector length in 3D","Square root of x squared plus y squared plus z squared"
"What is unit vector formula","Vector divided by magnitude"
"What is direction ratio?","Components of direction vector"
"What is vector representation of point","Position vector"
"What is vector geometry use","Solving geometric problems"
"What is perpendicular line condition","Dot product zero"
"What is parallel line condition","Vectors proportional"
"What is magnitude zero vector meaning","No direction or size"
"What is vector equation use","Describe lines in space"
"What is displacement formula vector","End minus start"
"What is vector addition commutative","a plus b equals b plus a"
"What is vector addition associative","a plus b plus c equals a plus b plus c"
"What is scalar multiplication distributive","k times a plus b equals ka plus kb"
"What is vector proof example","Show points form parallelogram"
"What is diagonal of parallelogram","Sum of adjacent vectors"
"What is vector component form","Using i j k"
"What is unit direction vector","Direction with magnitude 1"
"What is angle between lines","Angle between direction vectors"
"What is vector equation of plane basic","Uses point and normal vector"
"What is normal vector?","Perpendicular to plane"
"What is distance from point to point vector","Magnitude of difference"
"What is position vector from origin","Coordinates as vector"
"What is magnitude always?","Non negative"
"What is vector subtraction meaning","Adding negative vector"
"What is vector parallel test","Check ratios equal"
"What is vector perpendicular test","Dot product zero"
"What is geometry proof method","Use vector relationships"
"What is scalar projection","Length of projection"
"What is vector projection","Projection vector"
"What is vector representation triangle","Sum of two sides equals third"
"What is vector midpoint property","Equal halves"

