Front,Back
What happens in the opening scene of Macbeth?,The witches meet during a storm and plan to encounter Macbeth establishing the supernatural theme
Why do the witches meet Macbeth?,They plan to give prophecies that influence his ambition
What prophecy do the witches give Macbeth?,He will be Thane of Cawdor and later King of Scotland
What prophecy do the witches give Banquo?,His sons will become kings though he will not
How does Macbeth become Thane of Cawdor?,King Duncan rewards him for bravery in battle
Why does Duncan visit Macbeth's castle?,To honour Macbeth and celebrate his victory
How does Lady Macbeth persuade Macbeth to kill Duncan?,She questions his masculinity and manipulates his ambition
How is King Duncan murdered?,Macbeth stabs him while he sleeps
Why do Malcolm and Donalbain flee?,They fear being blamed for the murder
Why does Macbeth become king?,Duncan's sons flee making Macbeth the next in line
Why does Macbeth fear Banquo?,Because Banquo's sons are prophesied to become kings
How does Macbeth arrange Banquo's murder?,He hires murderers to kill Banquo and Fleance
What happens at the banquet scene?,Macbeth sees Banquo's ghost and begins to unravel
Why does Macbeth visit the witches again?,He seeks reassurance about his power
What do the three apparitions show Macbeth?,Warnings about Macduff and misleading prophecies about his safety
Why does Macbeth kill Macduff's family?,He wants revenge against Macduff
What happens to Lady Macbeth later in the play?,She sleepwalks due to guilt
How does Macbeth react to Lady Macbeth's death?,He reflects on the meaninglessness of life
What happens in the final battle?,Macduff leads the rebellion against Macbeth
How does Macbeth die?,Macduff kills him in battle
Who is Macbeth?,A Scottish nobleman and the tragic hero of the play
What kind of character is Macbeth at the start?,A brave and loyal soldier
How does Macbeth change throughout the play?,He becomes increasingly tyrannical and paranoid
Why is Macbeth considered a tragic hero?,He falls due to his fatal flaw ambition
What is Macbeth's tragic flaw?,His uncontrollable ambition
Who is Lady Macbeth?,Macbeth's ambitious and manipulative wife
How does Lady Macbeth influence Macbeth?,She pressures him to commit regicide
Why does Lady Macbeth question Macbeth's masculinity?,To manipulate him into committing murder
How does Lady Macbeth show guilt?,Through sleepwalking and hallucinations
What happens to Lady Macbeth at the end of the play?,She dies likely by suicide
Who is Banquo?,Macbeth's friend and fellow soldier
How is Banquo different from Macbeth?,He resists the witches' temptation
Why is Banquo suspicious of Macbeth?,He suspects Macbeth gained power through foul play
Who is Fleance?,Banquo's son
Why is Fleance important?,He represents the witches prophecy about Banquo's descendants
Who is Macduff?,A Scottish nobleman who opposes Macbeth
Why does Macduff oppose Macbeth?,He sees Macbeth as a tyrant
What motivates Macduff to fight Macbeth?,The murder of his family
Who is King Duncan?,The benevolent King of Scotland
How is Duncan presented as a king?,Kind generous and honourable
Who is Malcolm?,Duncan's son and rightful heir
Why is Malcolm important at the end of the play?,He restores order as king
What role do the witches play in the play?,They represent the supernatural and temptation
How do the witches influence Macbeth?,They spark his ambition with prophecy
What is the theme of ambition in Macbeth?,Ambition drives Macbeth to commit crimes
What is the theme of power in Macbeth?,Power corrupts those who pursue it ruthlessly
What is the theme of guilt in Macbeth?,Both Macbeth and Lady Macbeth suffer psychological torment
What is appearance vs reality in Macbeth?,Characters hide their true intentions
What is fate vs free will in Macbeth?,Debate over whether prophecy or choice controls events
What role does the supernatural play?,It manipulates and foreshadows events
What is the theme of violence?,Violence increases as Macbeth's tyranny grows
What is the theme of masculinity?,Characters question what it means to be a man
What is the theme of loyalty?,Many characters struggle between loyalty and morality
What is the theme of betrayal?,Macbeth betrays Duncan to gain power
What is the theme of kingship?,The play contrasts good and tyrannical rulers
What is tyranny?,Macbeth rules Scotland through fear
What is order vs chaos?,The natural order collapses after Duncan's murder
What is the theme of madness?,Guilt leads to psychological breakdown
What is the theme of justice?,Macbeth is punished for his crimes
What is the theme of leadership?,Malcolm represents rightful leadership
What does the quote Fair is foul and foul is fair mean?,It suggests that appearances can be deceptive
What does the quote So foul and fair a day mean?,Macbeth unknowingly echoes the witches language
What does Vaulting ambition refer to?,Macbeth recognises ambition as dangerous
What does Stars hide your fires mean?,Macbeth hides his dark desires
What does Look like the innocent flower mean?,Lady Macbeth advises deception
What does Is this a dagger mean?,Macbeth hallucinates due to guilt and conflict
What does Neptune's ocean quote mean?,Macbeth feels his guilt cannot be washed away
What does A little water clears us mean?,Lady Macbeth initially dismisses guilt
What does Sleep no more mean?,Macbeth has destroyed innocence
What does Out damned spot mean?,Lady Macbeth tries to wash imaginary blood
What does What's done cannot be undone mean?,Lady Macbeth realises consequences cannot be reversed
What does Banquo's ghost represent?,Macbeth's guilt and paranoia
What does None of woman born mean?,Macbeth believes he is invincible
What does Birnam Wood prophecy mean?,The witches give misleading prophecy
What does Life's but a walking shadow mean?,Macbeth sees life as meaningless
What does Tomorrow and tomorrow mean?,Macbeth reflects on life's futility
What does Unsex me here mean?,Lady Macbeth rejects traditional femininity
What does I dare do all that may become a man mean?,Macbeth struggles with masculinity
What does When you durst do it mean?,Lady Macbeth manipulates Macbeth's courage
What does the blood symbolism represent?,Guilt and violence
What does darkness imagery represent?,Evil secrecy and moral corruption
What does light imagery represent?,Goodness truth and innocence
What does animal imagery represent?,Chaos and unnatural behaviour
What does the motif of sleep represent?,Innocence and peace destroyed by guilt
What does weather symbolism represent?,Disorder in the natural world
What is dramatic irony in Macbeth?,The audience knows more than characters
What is a soliloquy?,A speech revealing a character's thoughts
What is foreshadowing?,Hints about future events
What is juxtaposition?,Contrasting ideas placed together
What is a motif?,A recurring idea or image
What is symbolism?,Objects representing deeper meanings
What is tragic structure?,A hero falls due to a fatal flaw
What is a character foil?,A character who contrasts another
What is pathetic fallacy?,Weather reflecting emotions
What is metaphor?,A comparison without like or as
What is irony?,A contrast between expectation and reality
What is the Divine Right of Kings?,The belief that kings are chosen by God
What is the Great Chain of Being?,A hierarchy of all living things in the universe
Why was regicide feared?,Killing a king was believed to disrupt divine order
Why were witches feared in Jacobean times?,They were believed to serve the devil
Why is King James I important to Macbeth?,He was fascinated by witchcraft
What role did religion play in Jacobean society?,It influenced moral beliefs about kingship
Why would audiences fear the supernatural?,They believed it could influence reality
Why was loyalty to the king important?,It maintained social order
What is the moral lesson of Macbeth?,Unchecked ambition leads to destruction
Why is Macbeth still relevant today?,It explores universal themes of power and ambition
