"Front","Back"
"What is training?","Planned programme to improve fitness"
"What is a training method?","Way of improving fitness"
"What is continuous training?","Steady exercise without rest"
"What is interval training?","Alternating work and rest periods"
"What is fartlek training?","Speed play training"
"What is circuit training?","Series of exercise stations"
"What is HIIT?","High intensity interval training"
"What is weight training?","Using resistance to build strength"
"What is plyometric training?","Explosive movement training"
"What is flexibility training?","Improving range of motion"
"What is aerobic training?","Uses oxygen"
"What is anaerobic training?","Without oxygen"
"What is strength training?","Improving force"
"What is endurance training?","Improving stamina"
"What is speed training?","Improving movement speed"
"What is power training?","Strength and speed combined"
"What is agility training?","Improving direction change"
"What is balance training?","Improving stability"
"What is coordination training?","Improving movement control"
"What is reaction time training?","Improving response speed"
"What is periodisation?","Planning training in phases"
"What is macrocycle?","Long-term training plan"
"What is mesocycle?","Medium-term phase"
"What is microcycle?","Short-term plan"
"What is peak performance?","Best performance state"
"What is tapering?","Reducing training before event"
"What is overload?","Training beyond normal level"
"What is progression?","Gradual increase in load"
"What is specificity?","Training relevant to sport"
"What is reversibility?","Fitness lost without training"
"What is moderation?","Avoiding overtraining"
"What is FITT principle?","Frequency, intensity, time, type"
"What is frequency?","How often training occurs"
"What is intensity?","How hard training is"
"What is time?","Duration of training"
"What is type?","Kind of activity"
"What is warm-up?","Preparation for exercise"
"What is cool-down?","Gradual recovery"
"What is stretching?","Improving flexibility"
"What is static stretching?","Holding stretch"
"What is dynamic stretching?","Movement stretching"
"What is ballistic stretching?","Bouncing stretch"
"What is PNF stretching?","Contract-relax stretching"
"What is fitness components?","Parts of fitness"
"What is cardiovascular endurance?","Heart and lungs efficiency"
"What is muscular strength?","Maximum force"
"What is muscular endurance?","Sustained contractions"
"What is flexibility?","Range of movement"
"What is body composition?","Fat vs lean mass"
"What is agility?","Quick direction change"
"What is balance?","Maintaining stability"
"What is coordination?","Smooth movement"
"What is power?","Strength x speed"
"What is reaction time?","Response speed"
"What is speed?","Rate of movement"
"What is fitness testing?","Measuring fitness"
"What is reliability?","Consistency of results"
"What is validity?","Accuracy of test"
"What is protocol?","Testing procedure"
"What is heart rate?","Beats per minute"
"What is resting heart rate?","Heart rate at rest"
"What is maximum heart rate?","220 minus age"
"What is target heart rate?","Training zone"
"What is training zone?","Ideal intensity range"
"What is lactate threshold?","Point lactic acid builds up"
"What is VO2 max?","Maximum oxygen uptake"
"What is recovery?","Return to normal"
"What is active recovery?","Light exercise recovery"
"What is passive recovery?","Complete rest"
"What is muscle soreness?","Pain after exercise"
"What is DOMS?","Delayed onset muscle soreness"
"What is overtraining?","Excessive training load"
