"Front","Back"
"What is skill?","Learned ability to bring about a predetermined result"
"What is ability?","Innate talent that cannot be learned"
"What is a motor skill?","Movement learned to perform a task"
"What is classification of skill?","Grouping skills based on characteristics"
"What is a basic skill?","Simple skill with little coordination"
"What is a complex skill?","Skill requiring high coordination"
"What is a gross skill?","Involves large muscle groups"
"What is a fine skill?","Involves small precise movements"
"What is an open skill?","Performed in changing environment"
"What is a closed skill?","Performed in stable environment"
"What is self-paced skill?","Performer controls timing"
"What is externally paced skill?","Timing controlled by environment"
"What is a discrete skill?","Has a clear beginning and end"
"What is a serial skill?","Several discrete skills combined"
"What is a continuous skill?","No clear beginning or end"
"What is information processing?","How the brain processes information"
"What are the stages of information processing?","Input, decision making, output"
"What is input?","Receiving information through senses"
"What is decision making?","Processing information to decide response"
"What is output?","Movement produced"
"What is feedback?","Information about performance"
"What is intrinsic feedback?","Internal feedback from performer"
"What is extrinsic feedback?","External feedback from coach"
"What is knowledge of results?","Information about outcome"
"What is knowledge of performance?","Information about technique"
"What is positive feedback?","Reinforces correct behaviour"
"What is negative feedback?","Highlights errors"
"What is terminal feedback?","Given after performance"
"What is concurrent feedback?","Given during performance"
"What is reinforcement?","Encouraging desired behaviour"
"What is punishment?","Discouraging unwanted behaviour"
"What is guidance?","Helping performance of skill"
"What is visual guidance?","Demonstrations"
"What is verbal guidance?","Instructions"
"What is manual guidance?","Physical support"
"What is mechanical guidance?","Use of equipment"
"What is learning?","Permanent change in behaviour"
"What is performance?","Temporary execution of skill"
"What is practice?","Repeating a skill to improve"
"What is whole practice?","Practicing skill as a whole"
"What is part practice?","Breaking skill into parts"
"What is progressive part practice?","Building skill step by step"
"What is massed practice?","Little or no rest"
"What is distributed practice?","Rest intervals included"
"What is variable practice?","Practice in different situations"
"What is fixed practice?","Practice in same conditions"
"What is mental practice?","Visualising skill"
"What is transfer of skills?","Effect of one skill on another"
"What is positive transfer?","Skill helps learning another"
"What is negative transfer?","Skill hinders learning"
"What is zero transfer?","No effect between skills"
"What is proactive interference?","Old learning affects new learning"
"What is retroactive interference?","New learning affects old learning"
"What is stages of learning?","Cognitive, associative, autonomous"
"What happens in cognitive stage?","High errors, learning basics"
"What happens in associative stage?","Refining skill, fewer errors"
"What happens in autonomous stage?","Skill becomes automatic"
"What is attention?","Focusing on relevant cues"
"What is selective attention?","Filtering information"
"What is concentration?","Maintaining focus"
"What is memory?","Storing information"
