Front,Back
to adapt,s’adapter | s’adapter aux changements
adaptation,l’adaptation | capacité d’adaptation
to face challenges,faire face aux défis
to overcome,surmonter | surmonter les difficultés
difficulty,la difficulté | rencontrer des difficultés
to struggle,lutter | lutter contre un problème
effort,l’effort | faire des efforts
to achieve success,réussir | réussir grâce au travail
to aim for,viser | viser le succès
goal,le but | atteindre un but
objective,l’objectif | fixer un objectif
to set goals,fixer des objectifs
ambition,l’ambition | avoir de l’ambition
ambitious,ambitieux/ambitieuse
determined,déterminé(e)
motivation,la motivation | forte motivation
to lack,manquer de | manquer de motivation
to improve performance,améliorer les performances
performance,la performance | performance scolaire
to succeed academically,réussir scolairement
academic,académique | réussite académique
to drop out,abandonner | abandonner ses études
dropout rate,le taux d’abandon scolaire
to enrol,s’inscrire | s’inscrire à un cours
enrolment,l’inscription | taux d’inscription
to attend,assister à | assister aux cours
attendance,l’assiduité | manque d’assiduité
to skip classes,sécher les cours
truancy,l’absentéisme | lutter contre l’absentéisme
to behave,se comporter | bien se comporter
behaviour,le comportement | comportement en classe
discipline,la discipline | maintenir la discipline
rule,la règle | respecter les règles
punishment,la punition | infliger une punition
reward,la récompense | donner une récompense
to reward,récompenser | récompenser les élèves
to punish,punir | punir un élève
to achieve potential,atteindre son potentiel
potential,le potentiel | plein potentiel
ability,la capacité | capacité intellectuelle
capable,capable de
to improve ability,améliorer ses capacités
to develop skills,développer des compétences
qualification,la qualification | qualification professionnelle
vocational,professionnel(le) | formation professionnelle
training,la formation | suivre une formation
apprenticeship,l’apprentissage | faire un apprentissage
career,la carrière | carrière professionnelle
career path,le parcours professionnel
to apply,postuler | postuler pour un emploi
application,la candidature | envoyer une candidature
CV,le CV | rédiger un CV
interview,l’entretien | passer un entretien
to hire,embaucher | embaucher quelqu’un
to fire,licencier | licencier un employé
employee,l’employé(e)
employer,l’employeur
colleague,le collègue | collègue de travail
boss,le patron/la patronne
manager,le manager | gérer une équipe
to manage a team,gérer une équipe
responsibility,la responsabilité | assumer des responsabilités
to take responsibility,assumer la responsabilité
promotion,la promotion | obtenir une promotion
to promote,promouvoir | promouvoir quelqu’un
to earn,gagner | gagner de l’argent
to save money,économiser de l’argent
saving,l’épargne | faire des économies
to spend,dépenser | dépenser de l’argent
expense,la dépense | dépenses mensuelles
budget,le budget | respecter un budget
to budget,faire un budget
financial,financier/financière
finance,la finance | gestion financière
debt,la dette | être endetté
loan,le prêt | contracter un prêt
tax,la taxe | payer des taxes
income tax,l’impôt sur le revenu
government spending,les dépenses publiques
public sector,le secteur public
private sector,le secteur privé
economic growth,la croissance économique
recession,la récession | période de récession
inflation,l’inflation | taux d’inflation
price rise,la hausse des prix
cost of living,le coût de la vie
standard of living,le niveau de vie
to improve living standards,améliorer le niveau de vie
to reduce inequality,réduire les inégalités
wealth gap,l’écart de richesse
distribution,la distribution | distribution des richesses
globalisation,la mondialisation
global,mondial(e)
international trade,le commerce international
import,l’importation | importer des biens
export,l’exportation | exporter des produits
to trade,commercer | commercer avec
company growth,la croissance de l’entreprise
profit,le profit | faire du profit
loss,la perte | subir une perte
to expand,s’étendre | étendre une entreprise
expansion,l’expansion | expansion rapide
entrepreneur,l’entrepreneur(e)
entrepreneurship,l’entrepreneuriat
startup,la start-up | créer une start-up
innovation,l’innovation | encourager l’innovation
to innovate,innover | innover constamment
technology advancement,les progrès technologiques
digital, numérique | transformation numérique
