"Front","Back"
"What is sports psychology?","Study of how psychological factors affect performance"
"What is arousal?","State of alertness or readiness"
"What is anxiety?","Negative emotional state of worry"
"What is stress?","Response to demands placed on an individual"
"What is somatic anxiety?","Physical symptoms of anxiety"
"What is cognitive anxiety?","Mental worry or concern"
"What is trait anxiety?","Stable personality tendency"
"What is state anxiety?","Temporary emotional response"
"What is motivation?","Drive to achieve goals"
"What is intrinsic motivation?","Motivation from within"
"What is extrinsic motivation?","Motivation from external rewards"
"What is self-efficacy?","Belief in ability to succeed"
"What is confidence?","Belief in performance ability"
"What is goal setting?","Setting targets to improve performance"
"What are SMART goals?","Specific, measurable, achievable, realistic, time-bound"
"What is attention?","Focusing on relevant information"
"What is concentration?","Maintaining focus over time"
"What is selective attention?","Filtering relevant cues"
"What is personality?","Combination of traits and behaviours"
"What is introvert?","Reserved and quiet personality"
"What is extrovert?","Outgoing and sociable personality"
"What is trait theory?","Personality is stable"
"What is social learning theory?","Behaviour learned from environment"
"What is interactionist theory?","Behaviour influenced by person and situation"
"What is aggression?","Intent to harm"
"What is assertion?","Forceful but controlled behaviour"
"What is leadership?","Ability to guide others"
"What is group cohesion?","Bonding of a team"
"What is task cohesion?","Working together to achieve goals"
"What is social cohesion?","Social bonding in a group"
"What is social loafing?","Reduced effort in a group"
"What is coordination loss?","Loss of efficiency in teams"
"What is Ringlemann effect?","Decrease in effort with group size"
"What is Steiner’s model?","Actual performance = potential - losses"
"What is attribution?","Explanation of success or failure"
"What is internal attribution?","Blaming self"
"What is external attribution?","Blaming outside factors"
"What is stable attribution?","Cause unlikely to change"
"What is unstable attribution?","Cause likely to change"
"What is controllable attribution?","Cause under control"
"What is uncontrollable attribution?","Cause not under control"
"What is mastery orientation?","Focus on improvement"
"What is ego orientation?","Focus on winning"
"What is arousal theories?","Explain relationship between arousal and performance"
"What is drive theory?","More arousal = better performance"
"What is inverted U theory?","Optimal arousal needed"
"What is catastrophe theory?","Too much arousal causes drop in performance"
