"Front","Back"
"What is displacement?","Distance in a given direction"
"What is velocity?","Rate of change of displacement"
"What is acceleration?","Rate of change of velocity"
"What is the formula for velocity","Displacement divided by time"
"What is the formula for acceleration","Change in velocity divided by time"
"What are SUVAT equations?","Equations for constant acceleration motion"
"What does s represent in SUVAT","Displacement"
"What does u represent","Initial velocity"
"What does v represent","Final velocity"
"What does a represent","Acceleration"
"What does t represent","Time"
"What is equation v equals u plus at","Final velocity formula"
"What is equation s equals ut plus half at squared","Displacement formula"
"What is equation v squared equals u squared plus 2as","Velocity displacement relation"
"What is equation s equals vt minus half at squared","Alternative displacement formula"
"What is equation s equals u plus v over 2 times t","Average velocity times time"
"What is uniform acceleration?","Constant acceleration"
"What is free fall?","Motion under gravity only"
"What is g?","Acceleration due to gravity about 9.81 m per second squared"
"What is projectile motion?","Motion under gravity with horizontal velocity"
"What is horizontal velocity in projectile","Constant"
"What is vertical acceleration in projectile","Equal to g downward"
"What is maximum height?","Highest point reached"
"What is time of flight?","Total time in air"
"What is range?","Horizontal distance travelled"
"What is resolving vectors?","Splitting into components"
"What is horizontal component","Magnitude times cos theta"
"What is vertical component","Magnitude times sin theta"
"What is force?","Mass times acceleration"
"What is Newtons first law?","Object remains at rest or uniform motion unless acted on"
"What is Newtons second law?","Force equals mass times acceleration"
"What is Newtons third law?","Equal and opposite forces"
"What is weight?","Mass times gravitational field strength"
"What is normal reaction?","Force perpendicular to surface"
"What is friction?","Force opposing motion"
"What is tension?","Force in a string"
"What is equilibrium?","Resultant force equals zero"
"What is particle model?","Object treated as point mass"
"What is resolving forces in equilibrium","Sum of horizontal and vertical forces zero"
"What is inclined plane?","Sloped surface problem"
"What is component down slope","mg sin theta"
"What is component perpendicular","mg cos theta"
"What is work done?","Force times distance"
"What is kinetic energy?","Half mv squared"
"What is gravitational potential energy?","mgh"
"What is conservation of energy?","Energy remains constant"
"What is power?","Rate of doing work"
"What is momentum?","Mass times velocity"
"What is conservation of momentum?","Total momentum remains constant"
"What is impulse?","Change in momentum"
"What is impulse formula","Force times time"
"What is collision?","Interaction between objects"
"What is elastic collision?","Kinetic energy conserved"
"What is inelastic collision?","Kinetic energy not conserved"
"What is coefficient of restitution?","Ratio of speeds after and before collision"
"What is formula for restitution","Relative speed after divided by before"
"What is connected particles?","Objects linked by string"
"What is pulley system?","System using rope and wheels"
"What is tension in light string","Same throughout"
"What is smooth pulley?","No friction"
"What is motion under constant force","Uniform acceleration"
"What is terminal velocity?","Constant speed when forces balance"
"What is drag force?","Air resistance"
"What is modelling assumptions?","Simplifications like no air resistance"
"What is particle assumption?","No size or rotation"
"What is uniform motion?","Constant velocity"
"What is deceleration?","Negative acceleration"
"What is velocity time graph area","Displacement"
"What is acceleration time graph area","Change in velocity"
"What is gradient of velocity time graph","Acceleration"
"What is gradient of displacement time graph","Velocity"
"What is maximum height condition","Vertical velocity zero"
"What is projectile symmetry","Upward time equals downward time"
"What is resolving motion","Separate into horizontal and vertical"
"What is horizontal displacement formula","u cos theta times t"
"What is vertical displacement formula","u sin theta times t minus half g t squared"
"What is velocity at angle?","Resolve into components"
"What is resultant velocity?","Combine components"
"What is angle of projection?","Angle of initial velocity"
"What is work energy principle","Work done equals change in energy"
"What is power formula mechanics","Force times velocity"
"What is linear momentum unit","Kg m per second"
"What is conservation in explosions","Total momentum remains constant"
"What is impulse graph area","Represents impulse"
"What is connected motion condition","Same magnitude acceleration"
"What is tension solving method","Use equations of motion"
"What is Newtons laws application","Set up force equations"
"What is resolving method","Break into axes"
"What is acceleration direction","Direction of resultant force"
"What is zero resultant force","No acceleration"
"What is vector direction importance","Determines sign of values"

