"Front","Back"
"What is the cell membrane?","A selectively permeable barrier surrounding cells."
"What is the fluid mosaic model?","A model describing membranes as a flexible phospholipid bilayer with embedded proteins."
"What is a phospholipid?","A molecule with a hydrophilic head and two hydrophobic fatty acid tails."
"What makes phospholipids form bilayers?","Hydrophilic heads face water while hydrophobic tails face inward."
"What is membrane fluidity?","The flexibility of the phospholipid bilayer."
"What molecules can pass easily through the membrane?","Small non-polar molecules such as oxygen and carbon dioxide."
"What is diffusion?","Movement of particles from high concentration to low concentration."
"What is the concentration gradient?","The difference in concentration between two regions."
"What is simple diffusion?","Diffusion directly through the phospholipid bilayer."
"What type of molecules diffuse easily across membranes?","Small non-polar molecules."
"What factors affect diffusion rate?","Surface area, temperature, distance and concentration gradient."
"What is facilitated diffusion?","Diffusion through membrane proteins."
"What proteins are used in facilitated diffusion?","Channel proteins and carrier proteins."
"What is a channel protein?","A protein forming a hydrophilic pore in the membrane."
"What is a carrier protein?","A protein that changes shape to transport molecules."
"What is osmosis?","Movement of water across a partially permeable membrane."
"What direction does osmosis occur?","From high water potential to low water potential."
"What is water potential?","A measure of the tendency of water to move."
"What units measure water potential?","Kilopascals (kPa)."
"What is pure water's water potential?","0 kPa."
"What is a partially permeable membrane?","A membrane allowing some substances to pass through."
"What happens to plant cells in hypotonic solutions?","They become turgid."
"What happens to plant cells in hypertonic solutions?","They become plasmolysed."
"What is plasmolysis?","The cell membrane pulling away from the cell wall."
"What happens to animal cells in hypotonic solutions?","They may burst."
"What happens to animal cells in hypertonic solutions?","They shrink."
"What is active transport?","Movement against a concentration gradient using ATP."
"What protein carries out active transport?","Carrier proteins."
"What is ATP used for in active transport?","Providing energy for protein shape change."
"What is co-transport?","Movement of molecules using a concentration gradient of another molecule."
"What example shows co-transport?","Glucose absorption in the small intestine."
"What is endocytosis?","The cell taking substances in using vesicles."
"What is exocytosis?","The cell releasing substances using vesicles."
"What is phagocytosis?","Engulfing large particles into a cell."
"What is pinocytosis?","Engulfing liquids into a cell."
"What is a glycoprotein?","A protein with carbohydrate chains attached."
"What is the role of glycoproteins?","Cell recognition and receptors."
"What is a glycolipid?","A lipid with a carbohydrate chain attached."
"What is cholesterol's role in membranes?","Regulates membrane fluidity."
"What happens to membranes at high temperatures?","They become more fluid."
"What happens to membranes at low temperatures?","They become less fluid."
"What is a receptor protein?","A protein that binds signalling molecules."
"What is cell signalling?","Communication between cells via chemical signals."
"What is passive transport?","Transport that does not require energy."
"What processes are passive transport?","Diffusion, facilitated diffusion and osmosis."
"What is a transport protein?","A membrane protein that moves substances."
"What is surface area to volume ratio?","The ratio affecting efficiency of exchange."
"Why do small cells exchange substances faster?","They have a higher SA:V ratio."
"What adaptation increases surface area in cells?","Microvilli."
"What are microvilli?","Membrane folds increasing surface area."
"What is the role of microvilli?","Increase absorption."
"What is the role of aquaporins?","Water channel proteins."
"What molecules use aquaporins?","Water."
"What is equilibrium in diffusion?","When concentrations are equal."
"What happens to net diffusion at equilibrium?","It stops."
"What affects membrane permeability?","Temperature, size and polarity."
"What is the sodium-potassium pump?","A protein transporting sodium out and potassium in."
"What energy source powers the sodium pump?","ATP."
"What ions move in the sodium potassium pump?","Sodium and potassium."
"What is electrochemical gradient?","Combined electrical and concentration gradient."
"What is a vesicle?","A small membrane-bound transport sac."
"What is bulk transport?","Movement of large substances using vesicles."
"What are membrane proteins used for?","Transport, receptors and enzymes."
"What is selective permeability?","Allowing some substances through but not others."
"What is facilitated diffusion used for?","Large or polar molecules."
"What molecules use facilitated diffusion?","Glucose and ions."
"What happens during carrier protein transport?","Protein changes shape to move molecules."
"What is passive movement?","Movement without energy input."
"What is active movement?","Movement requiring ATP."
"What is isotonic solution?","A solution with equal water potential."
"What happens to cells in isotonic solution?","No net water movement."
"What is hypotonic solution?","Solution with higher water potential."
"What is hypertonic solution?","Solution with lower water potential."
"What is diffusion distance?","The thickness substances must cross."
"What reduces diffusion rate?","Greater distance."
"What increases diffusion rate?","Higher temperature."
"What increases kinetic energy in diffusion?","Higher temperature."
"What is a concentration gradient used for?","Driving diffusion."
"What happens when gradients are steep?","Diffusion is faster."
"What membrane component allows flexibility?","Phospholipids."
"What membrane component stabilises structure?","Cholesterol."
"What membrane component aids recognition?","Glycoproteins."
"What membrane component helps signalling?","Receptor proteins."
"What is facilitated diffusion energy requirement?","No ATP required."
"What is active transport energy requirement?","Requires ATP."
"What is the importance of membrane transport?","Maintaining cell homeostasis."
"What is the role of membranes in compartmentalisation?","Separating cell processes."
"What structure controls cell entry and exit?","Cell membrane."
"What is membrane transport essential for?","Nutrient uptake and waste removal."
"What type of molecules require transport proteins?","Polar or charged molecules."
"What type of molecules pass directly through bilayer?","Small non-polar molecules."
"What is membrane asymmetry?","Different composition on each side."
"What is vesicle fusion?","Vesicle merging with membrane during exocytosis."
"What is vesicle budding?","Formation of vesicles during endocytosis."
"What is receptor-mediated endocytosis?","Specific uptake using receptor proteins."
"What is homeostasis?","Maintaining stable internal conditions."
"What role do membranes play in homeostasis?","Regulating substance movement."
"What is the significance of membrane transport?","Ensures correct internal environment."
"What is facilitated transport speed dependent on?","Number of transport proteins."
"What is saturation in facilitated diffusion?","All transport proteins are occupied."
"What is membrane transport vital for?","Cell survival."
